;;;;;;;;;;;;SRS;;;Adjusted;;
20;Texas A&M;SEC;;26;10;77.7;68.5;9.17;;13.67;;18.02;4.82;22.83;79.90;44.78;35.12
21;NC State;ACC;;26;9;66.8;57.2;9.54;;12.97;;7.13;15.38;22.51;69.11;34.32;34.79
22;West Virginia;Big 12;;25;12;73.3;61.5;11.86;;10.57;;11.34;11.04;22.39;71.57;37.16;34.41
23;South Florida;AAC;;26;8;75.2;63.0;12.24;;9.94;;13.87;8.31;22.18;79.44;45.30;34.13
24;Michigan;Big Ten;;23;10;74.9;62.5;12.42;;9.35;;11.99;9.78;21.77;73.40;40.03;33.36
25;Oklahoma;Big 12;;16;15;76.0;72.7;3.32;;18.06;;17.36;4.03;21.39;72.33;40.10;32.23
26;Green Bay;Horizon;;29;4;65.6;47.4;18.18;;2.77;;1.09;19.85;20.95;67.85;32.07;35.78
27;Marquette;Big East;;24;10;80.2;70.8;9.44;;10.69;;19.92;0.22;20.13;77.54;46.53;31.02
28;Iowa;Big Ten;;24;8;78.7;68.9;9.81;;9.93;;16.39;3.35;19.74;73.71;43.37;30.34
29;Southern California;Pac-12;;20;11;67.7;60.6;7.10;;12.48;;8.18;11.39;19.57;68.30;37.65;30.65
30;Minnesota;Big Ten;;24;9;84.9;72.6;12.30;;9.41;;22.87;-3.34;19.53;75.67;47.33;28.34
31;Georgia Tech;ACC;;20;14;67.5;57.4;10.06;;8.35;;7.72;11.18;18.90;65.42;36.49;28.92
32;Missouri;SEC;;24;8;69.8;61.0;8.75;;10.09;;7.88;10.97;18.84;73.31;43.08;30.23
33;South Dakota State;Summit;;26;7;78.2;60.3;17.91;;2.59;;12.93;5.75;18.69;70.87;42.99;27.88
34;Georgia;SEC;;26;7;67.0;57.6;9.36;;9.22;;5.56;13.02;18.58;62.17;32.95;29.22
35;Miami (FL);ACC;;21;11;71.1;64.1;6.97;;10.84;;10.05;7.76;17.81;65.60;37.75;27.84
36;Virginia Tech;ACC;;23;14;72.2;64.4;7.89;;9.86;;12.94;4.81;17.75;71.77;44.28;27.49
37;Utah;Pac-12;;18;14;71.2;63.8;7.44;;10.14;;10.35;7.23;17.58;67.87;40.26;27.61
38;Michigan State;Big Ten;;19;14;75.1;68.3;6.73;;10.79;;13.26;4.26;17.51;69.70;43.09;26.61
39;Buffalo;MAC;;29;6;78.1;65.1;12.97;;4.30;;13.78;3.49;17.27;66.40;40.32;26.08
40;Rutgers;Big Ten;;20;12;64.9;60.0;4.91;;11.90;;3.95;12.86;16.81;63.32;37.31;26.01
41;California;Pac-12;;21;11;69.0;63.9;5.09;;13.53;;9.89;6.74;16.63;65.06;40.56;24.50
42;TCU;Big 12;;23;13;74.8;70.9;3.89;;12.59;;13.64;2.84;16.48;72.34;46.33;26.01
43;Syracuse;ACC;;22;9;73.1;66.6;6.52;;9.81;;13.18;3.14;16.32;72.39;46.38;26.01
44;Central Michigan;MAC;;30;5;82.3;69.5;12.89;;5.54;;16.97;-1.02;15.95;74.76;51.28;23.48
45;Virginia;ACC;;19;14;62.1;61.2;0.91;;14.81;;3.17;12.55;15.72;64.29;39.32;24.97
46;Villanova;Big East;;23;9;67.5;61.0;6.50;;9.19;;6.63;9.06;15.69;74.83;48.76;26.07
47;Louisiana State;SEC;;19;10;66.3;61.7;4.69;;10.89;;5.06;10.52;15.58;65.45;40.08;25.37
48;Indiana;Big Ten;;23;14;70.1;66.7;3.46;;11.86;;9.32;6.00;15.31;68.79;44.27;24.53
49;St. John's (NY);Big East;;19;15;65.9;61.0;4.82;;10.16;;4.97;10.01;14.99;66.03;42.18;23.85
50;Nebraska;Big Ten;;21;11;68.8;63.6;5.16;;9.78;;6.16;8.78;14.94;66.10;42.53;23.57
51;Gonzaga;WCC;;27;6;72.3;54.3;17.94;;2.05;;6.73;8.14;14.87;59.15;38.25;20.90
52;Kentucky;SEC;;15;17;68.1;65.7;2.38;;11.42;;7.54;7.19;14.72;69.32;46.74;22.58
53;Creighton;Big East;;19;13;69.7;67.4;2.25;;12.33;;8.73;5.86;14.58;72.93;49.27;23.65
54;Princeton;Ivy;;24;6;67.6;55.1;12.53;;1.79;;3.96;10.36;14.32;67.60;42.90;24.70
55;Ball State;MAC;;25;7;80.4;64.6;15.81;;1.99;;12.82;1.43;14.25;63.00;42.40;20.60
56;Kansas State;Big 12;;18;16;68.0;66.6;1.41;;12.59;;7.65;6.35;14.00;67.68;45.36;22.32
57;Purdue;Big Ten;;20;14;65.4;62.7;2.68;;10.63;;3.51;9.80;13.31;66.12;44.56;21.56
58;Iowa State;Big 12;;14;17;67.0;67.4;-0.32;;13.55;;5.18;8.05;13.23;65.12;44.07;21.05
59;Alabama;SEC;;20;14;67.8;62.6;5.18;;7.80;;6.01;6.96;12.97;64.91;43.46;21.45
60;Belmont;OVC;;31;4;77.6;58.6;19.03;;-4.23;;9.34;3.49;12.83;71.29;49.92;21.37
61;Drake;MVC;;26;8;82.4;66.7;15.74;;-0.53;;17.08;-4.48;12.60;72.95;52.42;20.53
62;Dayton;A-10;;23;7;73.3;62.1;11.20;;1.31;;9.75;2.76;12.51;68.48;47.31;21.16
63;Elon;CAA;;25;8;71.2;55.8;15.42;;-0.14;;6.00;6.45;12.45;59.75;40.13;19.62
64;South Dakota;Summit;;29;7;74.3;56.3;17.92;;1.13;;6.78;5.66;12.43;64.91;44.66;20.25
65;Quinnipiac;MAAC;;28;6;71.8;58.9;12.88;;-0.88;;6.31;5.70;12.01;65.28;45.59;19.69
66;Auburn;SEC;;14;15;62.4;58.3;4.14;;10.17;;1.14;10.81;11.95;57.73;37.69;20.05
67;Florida Gulf Coast;A-Sun;;31;5;78.2;56.4;21.75;;-4.02;;9.56;2.36;11.92;65.14;45.77;19.37
68;Western Kentucky;CUSA;;24;9;75.3;61.5;13.79;;0.41;;9.78;2.10;11.88;69.79;49.25;20.54
69;Wake Forest;ACC;;14;17;66.2;65.4;0.77;;10.36;;6.10;5.03;11.13;65.18;45.85;19.32
70;Washington State;Pac-12;;10;20;65.9;69.8;-3.87;;14.86;;6.91;4.08;10.99;61.53;43.65;17.88
71;Georgetown;Big East;;16;16;64.3;61.8;2.47;;8.46;;2.25;8.68;10.93;62.20;44.88;17.32
72;IUPUI;Horizon;;22;10;68.8;56.4;12.44;;0.68;;4.04;6.74;10.77;63.94;45.90;18.04
73;Mercer;Southern;;30;3;70.7;54.9;15.79;;-5.34;;4.50;5.95;10.45;67.89;47.34;20.55
74;Colorado;Pac-12;;15;16;69.5;67.4;2.19;;11.38;;8.12;2.00;10.11;61.00;45.18;15.82
75;Pennsylvania;Ivy;;22;9;65.5;54.1;11.45;;1.18;;-0.62;10.67;10.04;59.33;41.95;17.38
76;UCF;AAC;;22;11;60.0;56.4;3.61;;6.14;;-2.51;12.25;9.74;55.53;37.73;17.80
77;New Mexico;MWC;;25;11;80.4;68.8;11.53;;0.58;;14.25;-4.86;9.38;63.45;47.57;15.88
78;Wright State;Horizon;;23;11;72.4;58.5;13.94;;0.51;;6.72;2.20;8.92;61.42;46.33;15.09
79;North Carolina;ACC;;15;16;73.0;73.8;-0.81;;9.53;;12.84;-4.11;8.73;67.33;51.58;15.75
80;Seton Hall;Big East;;16;16;66.3;65.3;1.03;;7.63;;4.85;3.81;8.67;61.61;46.99;14.62
81;UC Davis;Big West;;28;7;71.8;62.5;9.26;;-0.92;;4.73;3.60;8.34;63.03;48.09;14.94
82;Saint Mary's (CA);WCC;;20;11;71.5;62.8;8.74;;2.98;;6.39;1.79;8.18;59.19;46.92;12.26
83;Penn State;Big Ten;;16;16;68.7;69.5;-0.78;;8.55;;7.12;0.65;7.77;64.34;50.42;13.92
84;Western Illinois;Summit;;22;10;81.1;62.2;18.91;;-2.25;;11.68;-3.97;7.72;56.73;45.06;11.67
85;Drexel;CAA;;27;8;63.4;55.2;8.17;;-0.57;;-1.40;9.01;7.61;61.69;46.09;15.60
86;James Madison;CAA;;23;11;63.9;57.8;6.15;;1.38;;0.04;7.49;7.53;57.64;42.87;14.78
87;Cincinnati;AAC;;19;13;66.5;61.3;5.16;;4.83;;1.78;5.63;7.41;57.48;44.13;13.35
88;Butler;Big East;;15;17;64.5;65.3;-0.75;;7.87;;2.59;4.53;7.12;60.80;48.03;12.77
89;Duquesne;A-10;;25;8;69.8;63.3;6.48;;0.35;;4.29;2.55;6.83;64.33;51.12;13.21
90;Northern Colorado;Big Sky;;26;7;70.2;63.9;6.33;;0.46;;3.28;3.52;6.80;61.21;48.36;12.85
91;Houston;AAC;;20;12;73.7;70.9;2.78;;3.81;;11.12;-4.53;6.59;60.12;47.88;12.25
92;Pittsburgh;ACC;;10;20;59.3;63.2;-3.90;;10.06;;-1.07;7.23;6.16;55.62;44.43;11.19
93;Miami (OH);MAC;;21;11;69.3;64.0;5.25;;0.82;;2.62;3.45;6.07;63.26;51.10;12.17
94;Kansas;Big 12;;12;18;62.0;67.5;-5.50;;11.41;;1.09;4.83;5.91;58.48;46.84;11.64
95;Fordham;A-10;;24;10;60.9;56.1;4.76;;1.07;;-3.89;9.73;5.84;59.11;46.56;12.55
96;Florida;SEC;;11;19;65.6;67.4;-1.83;;8.97;;3.37;2.43;5.81;60.38;50.16;10.22
97;George Mason;A-10;;24;10;69.6;61.4;8.15;;-2.44;;3.95;1.76;5.71;60.08;48.29;11.79
98;Washington;Pac-12;;7;23;67.1;76.0;-8.90;;14.54;;7.11;-1.47;5.64;62.82;52.80;10.02
99;George Washington;A-10;;19;14;59.7;58.5;1.21;;4.37;;-4.77;10.36;5.58;59.06;46.97;12.10
100;Missouri State;MVC;;21;12;69.2;62.4;6.76;;0.38;;5.14;0.27;5.41;61.82;50.94;10.88
101;Maine;AEC;;23;10;65.5;53.9;11.58;;-0.91;;-1.09;6.40;5.32;57.29;45.67;11.63
102;Northwestern;Big Ten;;12;20;61.8;65.4;-3.56;;8.86;;0.31;4.99;5.30;59.53;49.19;10.34
103;Boise State;MWC;;23;10;68.4;56.6;11.85;;0.60;;2.08;3.10;5.18;50.74;41.30;9.44
104;Brigham Young;WCC;;16;14;66.6;56.3;10.23;;1.44;;1.99;3.12;5.11;49.03;39.22;9.80
105;Mississippi;SEC;;12;19;65.6;68.8;-3.23;;8.08;;3.08;1.78;4.86;59.26;49.29;9.97
106;UAB;CUSA;;27;7;71.5;58.8;12.68;;-2.71;;5.16;-0.33;4.83;61.67;50.62;11.05
107;Little Rock;Sun Belt;;23;10;59.7;53.8;5.88;;-1.24;;-7.35;11.98;4.64;55.74;43.19;12.55
108;Texas State;Sun Belt;;23;10;70.4;58.2;12.24;;-7.63;;2.24;2.38;4.62;62.13;50.29;11.84
109;Milwaukee;Horizon;;21;12;65.5;61.0;4.52;;-0.05;;0.13;4.34;4.46;58.58;48.95;9.63
110;Nevada-Las Vegas;MWC;;19;12;67.9;66.6;1.29;;3.15;;2.24;2.20;4.44;54.78;45.42;9.36
111;Navy;Patriot;;25;8;64.7;52.2;12.45;;-5.77;;-2.98;7.30;4.33;50.88;41.88;9.00
112;Tulane;AAC;;14;17;62.8;64.5;-1.68;;8.10;;0.49;3.80;4.29;53.13;45.07;8.06
113;Northern Iowa;MVC;;19;14;63.3;56.2;7.15;;-0.37;;-2.91;7.04;4.13;53.72;44.15;9.58
114;Loyola Marymount;WCC;;19;11;69.4;59.8;9.60;;0.88;;3.73;0.29;4.02;50.02;43.30;6.73
115;Wyoming;MWC;;22;11;61.5;54.8;6.73;;1.13;;-5.45;9.39;3.94;52.24;43.93;8.31
116;Saint Louis;A-10;;17;16;71.9;70.6;1.30;;2.56;;8.23;-4.37;3.87;64.55;55.39;9.16
117;Wisconsin;Big Ten;;9;21;60.6;65.2;-4.60;;9.08;;-1.93;5.61;3.68;54.32;47.63;6.70
118;Toledo;MAC;;18;15;67.5;68.0;-0.45;;4.05;;1.43;2.17;3.59;57.20;49.02;8.18
119;Vanderbilt;SEC;;7;24;69.1;79.2;-10.10;;13.46;;10.01;-6.64;3.36;66.37;58.03;8.34
120;Rice;CUSA;;23;10;65.3;58.1;7.18;;-3.97;;-1.44;4.65;3.21;64.48;54.21;10.27
121;Harvard;Ivy;;18;11;68.3;65.7;2.59;;0.61;;4.12;-0.93;3.19;64.55;56.20;8.34
122;Albany (NY);AEC;;24;8;68.3;60.2;8.16;;-4.97;;2.50;0.68;3.18;56.05;48.19;7.85
123;American;Patriot;;26;7;64.2;57.8;6.39;;-3.44;;-0.76;3.71;2.96;58.39;50.43;7.95
124;Delaware;CAA;;19;13;65.8;60.4;5.38;;-2.42;;0.52;2.44;2.96;55.17;47.21;7.96
125;Colorado State;MWC;;21;12;61.2;56.5;4.70;;0.45;;-6.19;9.13;2.95;47.41;41.24;6.18
126;Western Michigan;MAC;;18;15;69.9;63.4;6.48;;4.40;;2.15;0.78;2.93;54.47;47.88;6.59
127;Lamar;Southland;;22;8;77.5;51.6;25.90;;-6.59;;4.95;-2.11;2.84;45.47;38.22;7.25
128;Louisiana Tech;CUSA;;19;12;66.6;57.0;9.61;;-2.17;;0.08;2.72;2.80;52.58;44.27;8.32
129;Chattanooga;Southern;;17;13;58.8;56.7;2.13;;0.33;;-5.03;7.50;2.46;57.45;48.96;8.49
130;Middle Tennessee;CUSA;;18;13;57.8;56.4;1.39;;0.91;;-7.83;10.13;2.30;53.60;45.71;7.89
131;San Diego;WCC;;17;15;61.3;60.8;0.50;;0.85;;-2.44;4.75;2.30;;;
132;Arkansas;SEC;;13;18;67.2;73.7;-6.48;;8.74;;5.84;-3.59;2.26;59.00;51.47;7.53
133;Saint Joseph's;A-10;;19;15;64.6;62.7;1.82;;0.31;;0.01;2.13;2.14;61.02;54.50;6.52
134;Idaho State;Big Sky;;21;11;71.0;60.6;10.34;;-3.32;;0.67;1.31;1.98;51.81;45.78;6.03
135;Nevada;MWC;;19;17;69.8;66.9;2.97;;1.23;;4.98;-3.01;1.97;53.40;48.69;4.71
136;Northern Illinois;MAC;;15;15;77.5;76.5;1.03;;0.90;;10.61;-8.67;1.93;63.64;57.99;5.65
137;Wichita State;AAC;;14;17;65.6;68.9;-3.29;;5.13;;1.41;0.43;1.84;60.07;53.91;6.16
138;Weber State;Big Sky;;21;11;76.2;67.2;8.97;;-3.00;;8.90;-7.13;1.76;58.33;52.89;5.44
139;Yale;Ivy;;19;13;67.2;64.9;2.31;;-0.72;;2.68;-1.09;1.60;55.32;49.23;6.09
140;Marist;MAAC;;20;14;67.9;61.6;6.29;;-4.90;;1.84;-0.44;1.40;61.35;55.72;5.63
141;East Tennessee State;Southern;;20;13;67.1;62.4;4.76;;-0.72;;1.44;-0.07;1.37;53.11;46.97;6.13
142;Ohio;MAC;;16;15;67.3;66.4;0.87;;3.25;;1.72;-0.67;1.05;52.56;48.27;4.29
143;Jacksonville;A-Sun;;24;9;68.3;52.8;15.42;;-7.07;;-1.31;2.28;0.97;49.16;43.94;5.22
144;Cleveland State;Horizon;;19;11;67.7;66.5;1.13;;-0.19;;2.59;-1.64;0.95;60.33;55.03;5.29
145;San Francisco;WCC;;16;15;68.7;65.9;2.81;;1.52;;3.12;-2.25;0.88;53.40;49.85;3.55
146;North Texas;CUSA;;17;14;61.1;51.9;9.13;;-1.66;;-5.72;6.56;0.84;47.46;42.21;5.25
147;Bucknell;Patriot;;22;10;63.2;58.2;5.00;;-4.23;;-1.91;2.68;0.77;56.17;51.04;5.13
148;Liberty;Big South;;24;10;64.7;52.6;12.06;;-8.24;;-3.77;4.44;0.67;52.64;48.03;4.61
149;Charlotte;CUSA;;14;16;66.0;65.5;0.50;;-0.21;;1.43;-1.13;0.29;60.11;55.44;4.67
150;Oral Roberts;Summit;;17;13;68.3;59.0;9.30;;-2.55;;-2.90;2.96;0.06;51.09;47.54;3.55
151;Tulsa;AAC;;10;21;61.9;63.8;-1.97;;3.80;;-1.17;1.17;0.00;53.60;50.65;2.95
152;Oakland;Horizon;;15;16;70.4;67.1;3.23;;0.08;;5.32;-5.38;-0.05;53.22;49.67;3.56
153;Hartford;AEC;;19;13;64.6;60.3;4.34;;-4.87;;-1.84;1.77;-0.08;55.28;52.48;2.80
154;Boston College;ACC;;7;23;58.2;68.7;-10.50;;10.29;;-3.07;2.86;-0.21;54.27;51.91;2.36
155;Temple;AAC;;12;19;66.2;72.7;-6.58;;6.31;;5.14;-5.40;-0.27;60.08;56.52;3.55
156;Clemson;ACC;;11;19;50.5;60.3;-9.80;;7.97;;-10.97;10.62;-0.35;44.46;44.09;0.36
157;Pacific;WCC;;15;17;75.2;67.0;8.13;;1.33;;8.62;-9.14;-0.51;53.43;52.20;1.23
158;Southern Methodist;AAC;;10;20;56.0;59.4;-3.37;;4.73;;-8.15;7.55;-0.60;45.67;42.56;3.11
159;Central Arkansas;Southland;;25;10;62.1;46.5;15.66;;-5.96;;-9.95;9.31;-0.63;49.42;43.47;5.95
160;Xavier;Big East;;10;20;58.6;66.1;-7.43;;6.76;;-4.45;3.78;-0.67;55.34;53.98;1.36
161;Idaho;Big Sky;;19;14;74.8;72.6;2.21;;-0.45;;7.52;-8.32;-0.80;62.73;60.25;2.48
162;Tennessee-Martin;OVC;;19;15;71.9;63.4;8.56;;-3.31;;4.00;-4.99;-0.99;57.30;54.48;2.82
163;Stephen F. Austin;Southland;;25;7;72.7;51.1;21.66;;-9.93;;0.22;-1.39;-1.18;48.24;43.85;4.39
164;Texas Tech;Big 12;;7;23;62.7;75.2;-12.47;;11.28;;0.74;-1.93;-1.18;55.04;52.18;2.87
165;Fresno State;MWC;;17;15;66.4;67.8;-1.44;;0.23;;1.39;-2.60;-1.21;53.74;52.95;0.79
166;Providence;Big East;;10;21;59.7;65.4;-5.68;;6.01;;-3.78;2.56;-1.22;54.27;52.86;1.41
167;Binghamton;AEC;;20;12;63.8;56.3;7.53;;-6.11;;-3.55;2.31;-1.24;50.41;48.28;2.13
168;Northeastern;CAA;;16;15;62.3;61.6;0.74;;-2.00;;-2.85;1.59;-1.26;56.29;54.16;2.13
169;Dartmouth;Ivy;;15;12;65.0;66.0;-1.04;;-0.28;;-0.48;-0.84;-1.32;58.58;56.70;1.88
170;Cal State Northridge;Big West;;19;16;65.2;63.0;2.20;;-1.67;;-3.77;2.37;-1.41;49.52;47.81;1.71
171;Kent State;MAC;;13;19;62.3;67.0;-4.72;;3.19;;-3.19;1.66;-1.53;54.01;53.23;0.78
172;Portland State;Big Sky;;19;13;72.5;67.2;5.31;;-2.18;;2.68;-4.46;-1.78;52.81;51.74;1.07
173;Arizona;Pac-12;;6;24;57.9;70.7;-12.77;;10.88;;-2.64;0.75;-1.89;52.03;52.51;-0.49
174;Eastern Michigan;MAC;;11;20;69.4;70.6;-1.26;;1.45;;2.20;-4.12;-1.92;53.84;53.17;0.68
175;South Alabama;Sun Belt;;21;13;66.7;60.2;6.47;;-6.51;;-2.52;0.46;-2.06;51.81;49.30;2.51
176;SIU Edwardsville;OVC;;17;15;64.3;63.7;0.66;;-3.24;;-3.28;1.13;-2.15;52.32;51.88;0.44
177;Saint Francis (PA);NEC;;24;10;80.0;71.1;8.88;;-8.20;;11.33;-13.50;-2.17;56.85;55.73;1.12
178;William & Mary;CAA;;16;14;65.8;65.3;0.47;;-2.68;;-0.14;-2.07;-2.21;55.77;55.09;0.68
179;Richmond;A-10;;14;17;65.3;63.5;1.84;;-2.07;;-0.59;-1.67;-2.26;52.77;51.85;0.92
180;Eastern Washington;Big Sky;;17;14;67.7;66.3;1.35;;-0.77;;-1.00;-1.31;-2.30;52.30;52.11;0.19
181;Brown;Ivy;;15;12;75.3;70.8;4.52;;-3.26;;7.72;-10.13;-2.41;57.33;57.70;-0.36
182;Youngstown State;Horizon;;16;16;64.1;61.2;2.97;;0.49;;-1.82;-0.63;-2.44;53.88;53.77;0.11
183;Southern Illinois;MVC;;17;14;64.1;61.7;2.39;;-3.03;;-2.26;-0.45;-2.71;51.51;51.52;-0.01
184;East Carolina;AAC;;16;15;65.1;66.3;-1.19;;-0.47;;0.09;-2.94;-2.85;45.47;47.24;-1.77
185;UC Riverside;Big West;;11;22;66.1;70.7;-4.67;;1.76;;0.65;-3.56;-2.91;52.83;52.86;-0.03
186;UC Irvine;Big West;;18;14;72.0;68.7;3.38;;-3.44;;3.35;-6.28;-2.93;48.77;49.43;-0.65
187;Denver;Summit;;16;14;70.6;67.9;2.73;;-2.41;;3.28;-6.28;-2.99;52.96;53.75;-0.79
188;UC Santa Barbara;Big West;;12;17;66.2;65.7;0.52;;-1.07;;-0.51;-2.50;-3.00;52.64;54.13;-1.50
189;UTEP;CUSA;;17;14;64.9;64.2;0.74;;-3.75;;-2.37;-0.64;-3.01;56.17;56.13;0.04
190;Radford;Big South;;24;9;60.1;51.6;8.48;;-9.93;;-9.06;5.81;-3.25;45.94;45.76;0.18
191;North Dakota;Big Sky;;12;18;65.5;64.2;1.33;;1.26;;-2.56;-0.72;-3.28;47.43;48.03;-0.60
192;Illinois;Big Ten;;9;22;61.4;71.9;-10.55;;7.22;;-2.02;-1.31;-3.32;54.60;56.17;-1.57
193;Memphis;AAC;;10;20;58.9;68.8;-9.90;;6.31;;-4.28;0.69;-3.59;51.92;53.76;-1.84
194;Southern Mississippi;CUSA;;15;15;66.6;61.8;4.80;;-2.42;;-0.82;-2.81;-3.63;52.97;53.35;-0.38
195;Bradley;MVC;;13;18;65.8;61.7;4.13;;-5.09;;-2.92;-0.84;-3.76;50.10;52.38;-2.28
196;Troy;Sun Belt;;18;13;81.9;72.7;9.23;;-6.08;;13.64;-17.40;-3.77;53.37;54.02;-0.65
197;Stony Brook;AEC;;18;12;62.6;57.0;5.60;;-7.03;;-4.77;0.92;-3.85;52.38;53.44;-1.07
198;Coastal Carolina;Sun Belt;;17;14;65.4;58.2;7.23;;-5.86;;-4.06;0.20;-3.86;49.14;49.57;-0.43
199;Jacksonville State;OVC;;19;12;61.5;54.5;7.00;;-5.21;;-9.10;5.21;-3.89;41.46;43.97;-2.51
200;Florida Atlantic;CUSA;;13;15;70.0;69.6;0.36;;-4.29;;2.83;-6.76;-3.93;52.50;54.48;-1.97
201;Montana State;Big Sky;;16;15;67.2;63.7;3.42;;-3.04;;-1.31;-2.67;-3.97;52.10;54.02;-1.92
202;Montana;Big Sky;;14;17;64.1;64.3;-0.19;;-2.00;;-4.00;0.00;-4.00;51.90;53.94;-2.05
203;Robert Morris;NEC;;25;8;61.6;52.3;9.33;;-11.67;;-10.19;6.04;-4.14;47.10;47.56;-0.46
204;Akron;MAC;;9;21;64.8;68.0;-3.20;;2.37;;-2.07;-2.08;-4.15;47.41;49.31;-1.90
205;Cal State Bakersfield;WAC;;18;14;60.4;53.5;6.94;;-7.03;;-9.63;5.14;-4.50;44.17;45.81;-1.64
206;Seattle;WAC;;18;15;68.2;66.3;1.85;;-4.17;;0.42;-4.96;-4.54;51.52;54.04;-2.52
207;North Carolina A&T;MEAC;;23;9;66.5;54.4;12.16;;-9.93;;-4.99;0.43;-4.56;42.37;43.15;-0.78
208;New Hampshire;AEC;;19;12;59.8;56.0;3.81;;-6.71;;-6.46;1.55;-4.91;51.44;54.29;-2.85
209;Illinois State;MVC;;14;16;53.5;54.9;-1.37;;-3.56;;-13.89;8.96;-4.93;43.69;47.32;-3.62
210;Pepperdine;WCC;;10;20;67.1;68.5;-1.40;;1.17;;2.00;-6.93;-4.93;52.72;56.50;-3.78
211;Davidson;A-10;;12;18;63.1;67.2;-4.07;;-0.94;;-1.53;-3.48;-5.01;50.20;53.10;-2.90
212;Southeast Missouri State;OVC;;14;17;62.8;59.4;3.48;;-3.79;;-6.99;1.98;-5.01;45.17;48.49;-3.32
213;UT Arlington;Sun Belt;;18;12;62.5;62.9;-0.47;;-4.62;;-4.70;-0.39;-5.08;51.64;53.71;-2.07
214;Louisiana;Sun Belt;;17;16;60.4;57.8;2.58;;-3.56;;-7.12;1.88;-5.25;45.86;47.57;-1.71
215;Hampton;MEAC;;18;14;64.3;59.1;5.13;;-7.72;;-4.63;-0.91;-5.53;47.83;50.39;-2.56
216;Army;Patriot;;17;14;60.9;57.4;3.52;;-5.68;;-7.10;1.49;-5.61;47.40;51.22;-3.82
217;Morehead State;OVC;;21;11;68.0;62.9;5.16;;-7.32;;0.02;-5.67;-5.66;52.56;57.01;-4.45
218;San Diego State;MWC;;11;19;37.9;;;;-0.68;;-0.78;-5.15;-5.93;;;
219;Stetson;A-Sun;;17;15;63.3;59.7;3.66;;-4.57;;-5.88;-0.09;-5.97;48.23;52.27;-4.04
220;Northern Kentucky;Horizon;;9;22;58.1;60.5;-2.39;;-0.14;;-8.14;2.10;-6.04;46.83;51.25;-4.42
221;Hawaii;Big West;;12;18;63.0;64.7;-1.67;;0.06;;-3.61;-2.54;-6.15;48.44;54.05;-5.61
222;Samford;Southern;;15;16;57.9;60.8;-2.90;;-1.24;;-8.78;2.58;-6.20;45.92;50.04;-4.12
223;Massachusetts;A-10;;14;16;68.0;61.0;7.03;;-5.49;;-3.36;-2.88;-6.24;48.63;52.97;-4.34
224;Siena;MAAC;;17;14;61.2;61.3;-0.03;;-6.26;;-6.31;0.01;-6.29;48.27;53.30;-5.03
225;Columbia;Ivy;;8;21;62.2;70.9;-8.72;;2.31;;-1.80;-4.61;-6.41;54.12;59.83;-5.71
226;Bethune-Cookman;MEAC;;24;7;63.1;51.7;11.39;;-11.21;;-8.83;2.35;-6.48;44.16;45.65;-1.48
