;;;;;;;;;;;;SRS;;;Adjusted;;
36;Stanford;Pac-10;;29;5;71.3;57.1;14.18;;-25.80;;-0.14;-10.16;-10.30;419.66;-355.46;775.11
37;Xavier;A-10;;26;8;69.4;60.6;8.79;;2.07;;-3.54;-7.39;-10.93;458.52;-344.69;803.21
38;Connecticut;Big East;;32;4;77.3;55.2;22.06;;-25.22;;3.11;-14.08;-10.97;545.76;-302.02;847.78
39;Maryland;ACC;;28;6;82.6;61.3;21.32;;-17.50;;-8.72;-2.27;-11.00;509.44;-321.18;830.62
40;Vanderbilt;SEC;;28;6;76.3;61.9;14.38;;-18.37;;-7.28;-4.09;-11.37;539.01;-309.82;848.84
41;Old Dominion;CAA;;24;9;70.5;62.5;7.97;;-3.51;;13.73;-27.23;-13.51;434.07;-346.47;780.53
42;TCU;MWC;;21;11;72.5;63.5;8.97;;0.04;;-12.72;-1.24;-13.96;494.54;-321.10;815.64
43;Oklahoma State;Big 12;;20;11;71.0;57.9;13.10;;-10.32;;-0.31;-14.01;-14.32;513.69;-342.19;855.87
44;East Carolina;CUSA;;19;14;65.8;64.5;1.36;;27.15;;-10.60;-5.25;-15.85;468.16;-345.29;813.44
45;Belmont;A-Sun;;25;7;65.1;57.8;7.28;;0.65;;-19.84;3.49;-16.35;458.83;-303.24;762.06
46;NC State;ACC;;25;10;67.0;57.7;9.23;;-28.13;;-6.12;-11.68;-17.80;457.77;-364.20;821.98
47;Southeast Missouri State;OVC;;24;8;64.2;57.5;6.72;;-5.45;;-7.00;-12.45;-19.45;493.10;-308.44;801.54
48;Iowa State;Big 12;;26;9;67.8;60.6;7.20;;-19.00;;-0.05;-19.45;-19.50;457.81;-288.29;746.11
49;Baylor;Big 12;;26;8;73.9;61.6;12.38;;-25.41;;-2.17;-19.75;-21.91;535.97;-279.62;815.59
50;Delaware State;MEAC;;20;13;56.6;50.1;6.45;;-9.54;;-18.38;-6.16;-24.54;471.03;-371.10;842.13
51;Brigham Young;MWC;;23;10;62.3;57.2;5.15;;-1.23;;-12.37;-14.86;-27.23;473.83;-335.34;809.17
52;UNC Asheville;Big South;;21;12;64.9;55.6;9.36;;9.40;;-8.82;-19.79;-28.61;534.53;-283.09;817.62
53;Prairie View;SWAC;;19;14;66.6;66.5;0.15;;27.43;;-9.58;-19.99;-29.57;503.55;-328.99;832.54
54;Harvard;Ivy;;15;13;67.7;66.0;1.71;;-8.63;;-0.73;-31.90;-32.63;492.30;-330.86;823.17
55;Gonzaga;WCC;;24;10;68.4;61.7;6.74;;4.55;;-19.19;-15.26;-34.45;510.94;-365.70;876.64
56;Green Bay;Horizon;;29;4;76.0;61.3;14.70;;-27.30;;-7.70;-28.10;-35.80;503.37;-346.65;850.02
57;Chattanooga;Southern;;25;8;72.1;63.9;8.18;;-22.85;;-28.57;-7.29;-35.85;462.75;-349.68;812.42
58;Marquette;Big East;;26;7;70.9;61.2;9.67;;-35.37;;-20.12;-16.25;-36.37;499.33;-303.10;802.43
59;Washington;Pac-10;;18;13;71.5;69.2;2.29;;-18.54;;-21.89;-15.65;-37.54;431.65;-292.70;724.35
60;New Mexico;MWC;;24;9;64.7;55.8;8.91;;-34.28;;-38.65;-2.64;-41.28;524.15;-326.64;850.79
61;Idaho State;Big Sky;;17;14;79.5;71.8;7.68;;-8.54;;-14.41;-32.12;-46.54;539.99;-224.17;764.16
62;Robert Morris;NEC;;24;8;73.5;66.2;7.34;;-16.35;;-22.32;-26.03;-48.35;544.66;-270.50;815.15
63;Maryland-Baltimore County;AEC;;16;17;59.2;60.8;-1.52;;-12.18;;-44.93;-16.25;-61.18;467.30;-355.72;823.02
64;Louisiana;Sun Belt;;25;9;67.9;57.1;10.82;;-38.91;;-24.57;-43.34;-67.91;461.80;-328.30;790.10
65;Air Force;MWC;;6;23;53.6;63.1;-9.45;;;;;;;78.47;97.57;-19.10
66;Akron;MAC;;10;19;60.1;67.6;-7.52;;;;;;;85.29;95.61;-10.32
67;Alabama;SEC;;10;20;60.2;65.7;-5.47;;;;;;;76.31;94.43;-18.12
68;Alabama A&M;SWAC;;17;13;62.6;56.3;6.27;;;;;;;82.03;83.00;-0.98
69;Alabama State;SWAC;;12;18;57.2;57.9;-0.73;;;;;;;76.73;90.34;-13.62
70;Albany (NY);AEC;;9;20;59.8;67.3;-7.48;;;;;;;79.35;89.41;-10.07
71;Alcorn State;SWAC;;15;13;60.3;63.4;-3.07;;;;;;;82.80;86.56;-3.76
72;American;Patriot;;13;19;59.3;60.4;-1.03;;;;;;;87.25;88.47;-1.22
73;Appalachian State;Southern;;13;18;67.5;66.4;1.10;;;;;;;86.34;87.62;-1.28
74;Arizona;Pac-10;;11;21;63.1;67.6;-4.47;;;;;;;87.04;93.51;-6.46
75;Arkansas;SEC;;18;13;70.0;67.3;2.71;;;;;;;91.25;87.75;3.50
76;Arkansas State;Sun Belt;;20;12;70.4;68.2;2.25;;;;;;;91.03;88.63;2.39
77;Arkansas-Pine Bluff;SWAC;;11;20;59.1;71.8;-12.71;;;;;;;76.77;93.26;-16.50
78;Army;Patriot;;24;6;64.1;50.9;13.20;;;;;;;95.38;83.21;12.17
79;Auburn;SEC;;21;13;69.0;60.6;8.47;;;;;;;96.19;88.17;8.02
80;Austin Peay;OVC;;10;20;61.5;66.8;-5.27;;;;;;;90.54;98.13;-7.59
81;Ball State;MAC;;24;7;73.2;64.7;8.45;;;;;;;103.34;91.48;11.86
82;Bethune-Cookman;MEAC;;5;25;49.7;57.9;-8.17;;;;;;;65.49;87.41;-21.93
83;Binghamton;AEC;;12;19;58.7;60.7;-1.97;;;;;;;89.36;92.81;-3.45
84;Birmingham-Southern;Big South;;8;22;;;;;;;;;;;;
85;Boston College;ACC;;13;16;60.1;60.3;-0.24;;;;;;;86.33;88.33;-2.00
86;Boston University;AEC;;15;15;65.6;67.6;-2.00;;;;;;;95.27;98.13;-2.86
87;Bradley;MVC;;12;19;64.6;69.9;-5.26;;;;;;;92.24;99.97;-7.73
88;Brown;Ivy;;5;23;54.6;66.5;-11.93;;;;;;;78.66;96.26;-17.61
89;Bucknell;Patriot;;20;11;61.3;56.1;5.19;;;;;;;91.52;83.91;7.60
90;Buffalo;MAC;;10;19;59.5;64.3;-4.79;;;;;;;86.04;92.61;-6.57
91;Butler;Horizon;;16;15;68.7;70.4;-1.65;;;;;;;98.06;100.44;-2.38
92;Cal Poly;Big West;;14;14;66.8;66.8;0.04;;;;;;;84.14;83.52;0.62
93;Cal State Fullerton;Big West;;16;16;65.1;66.0;-0.88;;;;;;;88.07;90.91;-2.84
94;Cal State Northridge;Big West;;13;16;70.9;71.3;-0.45;;;;;;;88.11;88.80;-0.69
95;Campbell;A-Sun;;8;21;60.6;66.8;-6.21;;;;;;;84.84;93.21;-8.36
96;Canisius;MAAC;;16;14;61.9;60.8;1.17;;;;;;;87.84;86.47;1.37
97;Centenary (LA);Mid-Cont;;5;25;;;;;;;;;;;;
98;Central Arkansas;Southland;;14;14;68.9;62.0;6.89;;;;;;;;;
99;Central Connecticut State;NEC;;6;23;59.0;68.7;-9.69;;;;;;;84.56;98.16;-13.59
100;Central Michigan;MAC;;11;19;64.4;65.5;-1.07;;;;;;;92.74;98.75;-6.01
101;Charleston Southern;Big South;;10;20;59.0;53.3;5.77;;;;;;;70.34;89.53;-19.19
102;Charlotte;A-10;;19;13;70.9;65.9;5.00;;;;;;;97.76;90.73;7.03
103;Chicago State;Ind;;9;20;60.3;53.9;6.45;;;;;;;75.57;90.31;-14.75
104;Cincinnati;Big East;;15;14;68.3;65.8;2.48;;;;;;;95.30;92.33;2.96
105;Clemson;ACC;;12;18;69.1;72.7;-3.67;;;;;;;90.94;96.38;-5.44
106;Cleveland State;Horizon;;8;22;62.1;69.1;-7.07;;;;;;;85.64;94.82;-9.18
107;Coastal Carolina;Big South;;18;11;60.2;43.0;17.17;;;;;;;82.17;81.50;0.67
108;Colgate;Patriot;;6;25;53.1;67.1;-13.97;;;;;;;76.21;95.91;-19.69
109;College of Charleston;Southern;;10;20;57.4;54.8;2.67;;;;;;;77.90;85.68;-7.78
110;Colorado;Big 12;;13;17;63.9;67.2;-3.30;;;;;;;87.88;92.63;-4.76
111;Colorado State;MWC;;8;21;59.0;64.6;-5.66;;;;;;;83.49;97.00;-13.51
112;Columbia;Ivy;;8;20;57.8;66.6;-8.82;;;;;;;82.50;95.10;-12.60
113;Coppin State;MEAC;;25;8;64.2;53.5;10.70;;;;;;;91.17;75.93;15.23
114;Cornell;Ivy;;12;15;59.0;60.1;-1.11;;;;;;;86.65;93.49;-6.84
115;Creighton;MVC;;13;19;64.6;68.1;-3.50;;;;;;;91.56;96.52;-4.97
116;Dartmouth;Ivy;;15;14;60.8;60.5;0.28;;;;;;;90.66;89.89;0.77
117;Davidson;Southern;;23;9;70.6;60.1;10.50;;;;;;;95.61;84.61;11.00
118;Dayton;A-10;;12;18;66.8;68.3;-1.57;;;;;;;87.83;89.54;-1.71
119;Denver;Sun Belt;;20;11;63.4;58.5;4.94;;;;;;;87.56;81.82;5.74
120;Detroit Mercy;Horizon;;5;26;58.8;72.2;-13.39;;;;;;;79.80;97.96;-18.16
121;Drexel;CAA;;10;21;57.2;64.0;-6.81;;;;;;;87.34;97.83;-10.49
122;Duquesne;A-10;;7;20;59.0;65.1;-6.07;;;;;;;86.89;96.45;-9.56
123;East Tennessee State;A-Sun;;20;12;71.7;68.0;3.69;;;;;;;92.14;89.37;2.77
124;Eastern Illinois;OVC;;10;19;71.9;72.6;-0.72;;;;;;;90.55;97.41;-6.86
125;Eastern Kentucky;OVC;;12;18;71.8;69.6;2.23;;;;;;;96.11;97.75;-1.64
126;Eastern Michigan;MAC;;16;13;68.3;64.4;3.93;;;;;;;95.27;90.08;5.19
127;Eastern Washington;Big Sky;;10;19;67.6;68.2;-0.59;;;;;;;86.15;95.79;-9.64
128;Elon;Southern;;10;20;48.7;57.0;-8.27;;;;;;;71.89;87.52;-15.62
129;Evansville;MVC;;19;12;71.8;67.9;3.94;;;;;;;98.68;93.39;5.29
130;Fairfield;MAAC;;15;15;63.2;62.7;0.50;;;;;;;87.86;88.67;-0.81
131;FDU;NEC;;11;18;60.8;63.5;-2.69;;;;;;;84.36;88.17;-3.80
132;Florida;SEC;;9;22;68.6;74.2;-5.55;;;;;;;89.03;98.14;-9.11
133;Florida A&M;MEAC;;16;16;63.7;59.3;4.34;;;;;;;85.35;86.64;-1.30
134;Florida Atlantic;Sun Belt;;6;25;63.0;73.6;-10.58;;;;;;;79.97;93.61;-13.63
135;Florida International;Sun Belt;;16;14;64.0;61.7;2.27;;;;;;;88.86;90.43;-1.57
136;Fordham;A-10;;3;25;51.0;71.5;-20.50;;;;;;;78.07;109.39;-31.33
137;Fresno State;WAC;;18;13;66.0;64.0;1.94;;;;;;;91.01;88.11;2.91
138;Furman;Southern;;11;20;53.5;59.1;-5.65;;;;;;;79.88;91.42;-11.54
139;Gardner-Webb;A-Sun;;14;17;52.0;56.6;-4.58;;;;;;;78.65;87.79;-9.14
140;George Mason;CAA;;8;21;57.7;65.3;-7.62;;;;;;;86.24;96.61;-10.37
141;Georgetown;Big East;;13;16;58.5;61.0;-2.55;;;;;;;81.62;89.33;-7.71
142;Georgia Southern;Southern;;13;18;63.0;66.9;-3.87;;;;;;;83.56;88.47;-4.91
143;Georgia State;CAA;;15;15;67.7;64.9;2.83;;;;;;;87.23;89.18;-1.96
144;Grambling;SWAC;;12;19;64.2;61.7;2.45;;;;;;;77.68;85.16;-7.47
145;Hampton;MEAC;;15;13;62.6;61.7;0.93;;;;;;;79.85;78.83;1.02
146;Hartford;AEC;;25;9;58.6;53.2;5.44;;;;;;;89.38;80.54;8.83
147;Hawaii;WAC;;15;14;62.8;63.1;-0.31;;;;;;;88.23;88.62;-0.38
148;High Point;Big South;;18;12;60.9;57.9;3.07;;;;;;;86.19;88.88;-2.70
149;Hofstra;CAA;;26;8;66.1;58.3;7.82;;;;;;;95.33;84.69;10.64
150;Houston;CUSA;;9;19;63.6;71.5;-7.89;;;;;;;84.78;97.11;-12.33
151;Howard;MEAC;;8;22;65.2;73.8;-8.57;;;;;;;78.11;89.39;-11.28
152;Idaho;WAC;;6;22;62.2;74.1;-11.86;;;;;;;83.92;100.59;-16.67
153;Illinois;Big Ten;;19;12;65.2;59.2;5.94;;;;;;;94.26;87.24;7.02
154;Illinois State;MVC;;22;11;72.0;67.2;4.79;;;;;;;100.45;93.16;7.30
155;Illinois-Chicago;Horizon;;19;13;68.3;67.1;1.16;;;;;;;91.62;90.11;1.51
156;Indiana;Big Ten;;19;14;67.2;65.2;2.06;;;;;;;94.39;91.07;3.33
157;Indiana State;MVC;;19;11;77.6;70.0;7.60;;;;;;;105.89;96.10;9.79
158;Iona;MAAC;;22;13;60.1;58.6;1.51;;;;;;;89.50;87.30;2.20
159;Iowa;Big Ten;;14;16;67.8;71.7;-3.87;;;;;;;96.78;102.78;-6.00
160;IUPUI;Mid-Cont;;0;16;109.1;106.7;2.38;;;;;;;78.76;83.24;-4.48
161;Jackson State;SWAC;;22;11;60.6;56.5;4.15;;;;;;;81.12;78.16;2.97
162;Jacksonville;A-Sun;;21;9;66.2;61.9;4.27;;;;;;;90.41;86.16;4.25
163;Jacksonville State;OVC;;7;21;70.6;78.4;-7.82;;;;;;;91.31;106.36;-15.05
164;Kansas;Big 12;;11;20;60.5;64.6;-4.10;;;;;;;87.05;93.46;-6.41
165;Kansas City;Mid-Cont;;9;21;56.1;56.2;-0.07;;;;;;;73.50;84.31;-10.81
166;Kansas State;Big 12;;19;15;65.3;59.9;5.41;;;;;;;92.71;85.18;7.53
167;Kennesaw State;A-Sun;;13;16;65.3;64.5;0.86;;;;;;;;;
168;Kent State;MAC;;15;13;73.1;68.9;4.25;;;;;;;95.78;90.41;5.37
169;Kentucky;SEC;;20;14;70.4;62.2;8.12;;;;;;;97.37;86.06;11.31
170;La Salle;A-10;;19;11;63.9;61.7;2.23;;;;;;;93.91;90.96;2.95
171;Lafayette;Patriot;;7;23;56.7;64.4;-7.70;;;;;;;84.55;95.46;-10.91
172;Lamar;Southland;;13;17;64.6;60.6;4.00;;;;;;;85.84;88.80;-2.95
173;Lehigh;Patriot;;11;19;56.5;57.6;-1.07;;;;;;;86.01;88.82;-2.81
174;Liberty;Big South;;19;12;66.0;48.5;17.52;;;;;;;93.17;86.01;7.16
175;Lipscomb;A-Sun;;8;21;57.5;63.6;-6.03;;;;;;;78.65;93.97;-15.33
176;Little Rock;Sun Belt;;21;10;62.2;49.7;12.48;;;;;;;93.70;83.33;10.37
177;Long Beach State;Big West;;9;23;55.8;64.5;-8.66;;;;;;;77.91;89.77;-11.86
178;Long Island University;NEC;;22;9;63.4;56.4;7.00;;;;;;;98.14;87.05;11.10
179;Louisiana Tech;WAC;;17;13;65.9;61.2;4.70;;;;;;;87.19;81.15;6.04
180;Louisiana-Monroe;Sun Belt;;14;16;60.1;58.7;1.47;;;;;;;78.70;83.34;-4.64
181;Loyola (IL);Horizon;;7;21;67.2;75.8;-8.61;;;;;;;91.85;103.57;-11.73
182;Loyola (MD);MAAC;;18;12;64.2;61.3;2.90;;;;;;;93.43;88.65;4.78
183;Loyola Marymount;WCC;;19;12;62.3;60.1;2.19;;;;;;;90.91;87.28;3.63
184;Maine;AEC;;13;15;62.4;65.8;-3.32;;;;;;;90.62;95.58;-4.96
185;Manhattan;MAAC;;11;20;56.4;62.7;-6.35;;;;;;;85.41;95.45;-10.04
186;Marshall;CUSA;;15;15;63.2;64.9;-1.70;;;;;;;86.39;89.00;-2.61
187;Maryland-Eastern Shore;MEAC;;11;20;53.6;57.8;-4.19;;;;;;;72.75;85.06;-12.31
188;Massachusetts;A-10;;17;13;62.8;59.5;3.27;;;;;;;92.31;87.26;5.05
189;McNeese State;Southland;;4;25;55.4;61.6;-6.10;;;;;;;73.23;96.97;-23.74
190;Memphis;CUSA;;4;27;62.4;78.8;-16.39;;;;;;;81.15;103.40;-22.26
191;Mercer;A-Sun;;5;25;47.7;57.9;-10.20;;;;;;;64.79;86.41;-21.62
192;Miami (FL);ACC;;11;19;66.6;70.7;-4.07;;;;;;;89.60;95.37;-5.77
193;Miami (OH);MAC;;12;18;72.7;77.3;-4.63;;;;;;;93.17;99.30;-6.13
194;Michigan;Big Ten;;10;20;56.8;63.5;-6.63;;;;;;;80.90;90.81;-9.91
195;Milwaukee;Horizon;;15;16;66.5;69.4;-2.87;;;;;;;95.42;99.40;-3.98
196;Minnesota;Big Ten;;17;16;66.8;63.2;3.64;;;;;;;95.05;89.27;5.79
197;Mississippi State;SEC;;18;14;67.8;63.9;3.91;;;;;;;85.85;84.96;0.89
198;Mississippi Valley State;SWAC;;7;21;57.9;58.7;-0.86;;;;;;;76.38;91.05;-14.67
199;Missouri;Big 12;;17;14;69.8;65.4;4.42;;;;;;;96.15;91.07;5.08
200;Missouri State;MVC;;7;21;61.6;68.6;-7.04;;;;;;;88.43;98.82;-10.39
201;Monmouth;NEC;;18;13;63.9;62.7;1.26;;;;;;;89.00;87.90;1.10
202;Montana;Big Sky;;27;4;77.5;61.0;16.45;;;;;;;107.53;89.42;18.11
203;Montana State;Big Sky;;13;16;67.6;62.6;4.93;;;;;;;89.32;90.86;-1.54
204;Morehead State;OVC;;14;16;65.7;68.2;-2.47;;;;;;;90.49;94.26;-3.78
205;Morgan State;MEAC;;18;13;58.9;57.9;0.94;;;;;;;78.00;80.23;-2.23
206;Mount St. Mary's;NEC;;12;17;61.8;63.9;-2.17;;;;;;;87.62;90.64;-3.02
207;Murray State;OVC;;21;10;71.3;59.9;11.35;;;;;;;103.34;93.67;9.67
208;Navy;Patriot;;12;17;54.8;57.2;-2.41;;;;;;;82.06;88.66;-6.60
209;Nevada;WAC;;17;14;69.3;68.4;0.87;;;;;;;89.27;88.47;0.80
210;Nevada-Las Vegas;MWC;;14;15;62.3;61.7;0.66;;;;;;;89.00;88.49;0.51
211;New Hampshire;AEC;;9;20;56.9;60.0;-3.07;;;;;;;88.30;97.13;-8.83
212;New Mexico State;WAC;;13;18;60.7;64.2;-3.42;;;;;;;83.25;87.89;-4.64
213;New Orleans;Sun Belt;;9;21;57.6;64.8;-7.13;;;;;;;73.90;88.23;-14.33
214;Niagara;MAAC;;14;16;63.0;65.6;-2.63;;;;;;;88.25;92.40;-4.15
215;Nicholls State;Southland;;7;20;59.0;70.2;-11.22;;;;;;;77.75;98.16;-20.40
216;NJIT;Ind;;4;24;52.8;60.3;-7.54;;;;;;;;;
217;Norfolk State;MEAC;;6;24;60.2;64.0;-3.83;;;;;;;74.57;89.87;-15.30
218;North Carolina A&T;MEAC;;17;13;70.5;70.5;-0.03;;;;;;;89.48;89.80;-0.32
219;North Dakota State;Ind;;14;11;65.4;61.2;4.16;;;;;;;;;
220;North Florida;A-Sun;;8;21;50.4;62.2;-11.86;;;;;;;;;
221;North Texas;Sun Belt;;9;20;63.0;68.3;-5.34;;;;;;;83.75;91.39;-7.63
222;Northeastern;CAA;;4;26;61.4;71.7;-10.30;;;;;;;85.98;100.16;-14.18
223;Northern Arizona;Big Sky;;20;12;69.2;60.6;8.56;;;;;;;94.49;88.65;5.84
224;Northern Colorado;Big Sky;;5;24;55.6;69.8;-14.14;;;;;;;;;
225;Northern Illinois;MAC;;19;12;72.3;68.7;3.55;;;;;;;103.62;98.19;5.43
226;Northern Iowa;MVC;;17;13;65.5;64.5;1.07;;;;;;;94.79;93.11;1.68
227;Northwestern;Big Ten;;8;22;58.1;66.6;-8.47;;;;;;;83.01;95.31;-12.30
228;Northwestern State;Southland;;10;20;63.7;62.5;1.20;;;;;;;79.52;89.42;-9.89
229;Oakland;Mid-Cont;;19;13;62.7;51.8;10.91;;;;;;;81.77;79.75;2.01
230;Ohio;MAC;;18;12;68.0;65.0;3.07;;;;;;;93.34;89.12;4.22
231;Oregon;Pac-10;;17;14;62.8;60.7;2.06;;;;;;;90.84;87.57;3.26
232;Oregon State;Pac-10;;9;19;61.0;61.6;-0.57;;;;;;;88.87;94.68;-5.81
233;Pacific;Big West;;8;22;59.9;68.8;-8.93;;;;;;;79.47;89.86;-10.39
234;Penn State;Big Ten;;15;16;63.5;63.5;0.00;;;;;;;91.85;92.23;-0.38
235;Pennsylvania;Ivy;;12;15;59.6;64.1;-4.44;;;;;;;89.47;96.33;-6.87
236;Pepperdine;WCC;;14;17;62.1;63.7;-1.61;;;;;;;85.48;88.02;-2.54
237;Portland;WCC;;10;20;62.1;67.9;-5.80;;;;;;;84.98;95.18;-10.20
238;Portland State;Big Sky;;12;18;70.0;73.8;-3.77;;;;;;;86.57;94.20;-7.63
239;Princeton;Ivy;;13;15;63.1;64.7;-1.57;;;;;;;89.09;92.65;-3.55
240;Providence;Big East;;13;16;65.0;69.3;-4.28;;;;;;;90.14;96.67;-6.53
241;Purdue Fort Wayne;Ind;;12;17;62.9;62.3;0.62;;;;;;;88.07;94.47;-6.40
242;Quinnipiac;NEC;;16;12;68.6;66.0;2.54;;;;;;;95.16;91.77;3.38
243;Radford;Big South;;20;11;65.9;50.4;15.52;;;;;;;91.22;84.59;6.63
244;Rhode Island;A-10;;6;23;60.5;70.2;-9.76;;;;;;;86.56;100.47;-13.91
245;Rice;CUSA;;19;14;69.6;64.0;5.61;;;;;;;92.11;84.51;7.61
246;Richmond;A-10;;13;17;60.6;63.3;-2.67;;;;;;;87.03;90.27;-3.23
247;Rider;MAAC;;2;28;58.0;74.6;-16.60;;;;;;;80.94;103.85;-22.91
248;Sacramento State;Big Sky;;3;27;54.0;71.0;-16.97;;;;;;;73.52;101.37;-27.85
249;Sacred Heart;NEC;;22;10;65.0;59.6;5.38;;;;;;;92.43;84.96;7.47
250;Saint Francis (PA);NEC;;7;22;63.9;74.7;-10.83;;;;;;;89.10;103.83;-14.73
251;Saint Joseph's;A-10;;19;14;65.6;64.1;1.52;;;;;;;93.89;91.09;2.81
252;Saint Louis;A-10;;13;17;70.1;71.1;-0.97;;;;;;;92.67;94.41;-1.73
253;Saint Mary's (CA);WCC;;14;14;68.5;70.8;-2.32;;;;;;;87.80;90.96;-3.16
254;Saint Peter's;MAAC;;12;18;59.7;63.4;-3.63;;;;;;;87.32;92.95;-5.63
255;Sam Houston;Southland;;5;24;60.6;68.6;-8.03;;;;;;;71.75;94.68;-22.93
256;Samford;OVC;;18;13;61.7;53.6;8.10;;;;;;;93.00;87.30;5.70
257;San Diego;WCC;;21;9;64.5;60.0;4.50;;;;;;;87.94;82.02;5.92
258;San Diego State;MWC;;12;16;56.1;63.8;-7.61;;;;;;;79.97;90.32;-10.35
259;San Francisco;WCC;;10;21;58.6;63.5;-4.94;;;;;;;83.57;90.87;-7.30
260;San Jose State;WAC;;5;27;58.4;69.6;-11.13;;;;;;;75.07;88.62;-13.56
261;Santa Clara;WCC;;13;17;68.6;72.6;-4.03;;;;;;;93.17;98.92;-5.76
262;Savannah State;Ind;;12;17;;;;;;;;;;;;
263;Seton Hall;Big East;;19;12;60.7;61.6;-0.97;;;;;;;86.59;87.40;-0.81
264;Siena;MAAC;;10;20;59.3;65.9;-6.57;;;;;;;88.69;98.57;-9.89
265;South Alabama;Sun Belt;;14;16;57.4;55.4;2.00;;;;;;;81.10;85.79;-4.69
266;South Carolina;SEC;;18;15;68.6;59.5;9.18;;;;;;;92.34;80.13;12.20
