;;;;;;;;;;;;SRS;;;Adjusted;;
33;Louisiana State;SEC;;20;12;63.4;59.0;4.47;;13.28;;4.64;13.11;17.75;67.25;37.39;29.85
34;Virginia;ACC;;20;13;63.2;55.9;7.27;;9.93;;3.09;14.12;17.20;65.54;36.09;29.45
35;Green Bay;Horizon;;27;6;69.4;51.7;17.73;;-0.57;;2.69;14.47;17.16;69.82;38.47;31.35
36;Purdue;Big Ten;;23;13;67.4;59.8;7.56;;9.45;;5.40;11.61;17.01;67.46;38.82;28.64
37;Michigan State;Big Ten;;21;12;73.4;66.9;6.45;;10.26;;12.01;4.70;16.71;72.21;44.32;27.89
38;Gonzaga;WCC;;26;7;72.0;54.9;17.06;;2.88;;7.45;9.09;16.54;64.19;39.01;25.17
39;Southern California;Pac-12;;14;16;67.5;65.1;2.40;;14.14;;8.88;7.66;16.54;66.21;40.12;26.09
40;Missouri;SEC;;22;11;66.3;62.6;3.76;;12.60;;6.73;9.62;16.36;72.33;44.11;28.22
41;South Florida;AAC;;24;9;70.7;61.8;8.97;;6.94;;9.42;6.49;15.91;74.22;46.88;27.35
42;Temple;AAC;;24;8;69.9;60.7;9.25;;6.47;;9.05;6.67;15.72;69.25;41.38;27.87
43;Oklahoma State;Big 12;;17;15;66.2;65.1;1.06;;14.25;;7.20;8.11;15.31;68.42;42.93;25.50
44;Texas Tech;Big 12;;14;17;67.9;67.8;0.13;;15.08;;9.07;6.13;15.21;69.07;43.08;25.99
45;Drake;MVC;;28;5;82.2;63.1;19.09;;-0.80;;16.97;-1.78;15.20;72.45;47.81;24.64
46;Marquette;Big East;;25;8;78.8;70.2;8.64;;6.56;;17.48;-2.28;15.20;78.50;53.22;25.28
47;Creighton;Big East;;24;8;65.8;57.8;8.03;;7.09;;3.74;11.38;15.12;69.38;42.54;26.85
48;Colorado;Pac-12;;17;16;68.9;66.3;2.67;;12.12;;10.21;4.58;14.79;66.87;42.99;23.88
49;Washington State;Pac-12;;16;20;66.6;66.8;-0.17;;16.70;;8.78;5.72;14.51;60.03;37.29;22.75
50;Penn State;Big Ten;;21;11;72.7;65.8;6.84;;7.48;;11.07;3.25;14.32;72.37;48.17;24.20
51;Georgia Tech;ACC;;22;15;68.7;65.6;3.05;;11.17;;9.61;4.61;14.22;67.83;42.58;25.25
52;Auburn;SEC;;17;15;62.4;59.3;3.16;;12.45;;2.87;11.30;14.17;62.83;39.20;23.63
53;TCU;Big 12;;12;18;71.0;67.3;3.67;;12.51;;11.34;2.51;13.84;66.99;41.91;25.09
54;Western Kentucky;CUSA;;27;7;75.1;61.9;13.15;;0.66;;8.61;5.20;13.81;77.33;50.69;26.64
55;Florida;SEC;;15;16;70.7;68.0;2.68;;11.06;;11.63;2.11;13.74;67.69;44.19;23.51
56;Utah;Pac-12;;16;15;64.5;64.7;-0.26;;13.56;;5.60;7.70;13.30;59.10;37.64;21.46
57;Alabama;SEC;;22;14;68.1;59.4;8.72;;6.19;;6.23;6.93;13.16;61.96;39.29;22.66
58;Elon;CAA;;27;7;70.6;57.6;12.91;;2.37;;7.19;5.66;12.85;65.95;43.03;22.92
59;Minnesota;Big Ten;;15;16;73.7;74.5;-0.71;;13.23;;12.35;0.17;12.52;68.62;47.12;21.50
60;South Dakota State;Summit;;23;9;71.0;60.9;10.13;;2.35;;6.52;5.96;12.48;68.17;45.53;22.64
61;Northwestern;Big Ten;;20;11;68.4;64.5;3.84;;8.62;;6.17;6.29;12.46;64.24;42.20;22.04
62;Georgia;SEC;;16;15;62.1;62.4;-0.29;;12.33;;3.49;8.55;12.04;62.31;40.66;21.65
63;Mississippi;SEC;;17;14;67.6;62.3;5.29;;6.60;;5.67;6.22;11.89;61.66;39.83;21.84
64;St. John's (NY);Big East;;22;12;61.1;55.4;5.71;;6.02;;-0.62;12.35;11.73;62.48;40.41;22.07
65;Virginia Tech;ACC;;20;14;70.7;67.7;3.00;;8.46;;10.14;1.32;11.46;68.63;47.21;21.42
66;James Madison;CAA;;26;9;70.2;61.2;9.00;;2.45;;8.67;2.79;11.45;67.41;45.46;21.95
67;Arkansas;SEC;;13;17;64.1;60.4;3.70;;7.37;;2.75;8.32;11.07;63.08;42.47;20.62
68;George Washington;A-10;;20;10;65.5;57.1;8.40;;2.63;;3.09;7.94;11.03;63.20;41.83;21.37
69;Brigham Young;WCC;;20;12;67.4;56.2;11.19;;5.27;;4.90;6.06;10.95;55.84;40.46;15.38
70;Dayton;A-10;;22;10;65.8;59.7;6.09;;4.65;;3.89;6.85;10.74;65.75;44.28;21.47
71;Colorado State;MWC;;25;9;65.0;51.9;13.09;;1.91;;-1.18;11.62;10.44;52.61;36.87;15.74
72;UCF;AAC;;21;12;63.7;56.4;7.24;;2.89;;0.66;9.47;10.13;61.05;40.86;20.19
73;Saint Louis;A-10;;25;9;73.1;61.5;11.56;;-1.59;;8.81;1.16;9.97;68.86;49.23;19.63
74;Central Michigan;MAC;;23;9;77.8;69.5;8.34;;1.52;;12.61;-2.74;9.87;72.56;54.80;17.76
75;Wyoming;MWC;;22;10;64.7;51.7;13.00;;1.10;;-0.17;10.03;9.86;57.57;41.00;16.57
76;Drexel;CAA;;22;11;65.5;56.1;9.48;;-0.03;;1.15;8.31;9.46;69.49;48.80;20.69
77;Arizona;Pac-12;;14;16;64.0;65.0;-1.03;;12.34;;4.64;4.70;9.34;57.91;41.77;16.13
78;Villanova;Big East;;20;15;61.2;61.1;0.11;;9.14;;0.54;8.71;9.25;67.07;48.07;19.00
79;North Carolina;ACC;;15;16;72.2;72.1;0.06;;9.10;;11.99;-2.83;9.16;69.08;51.16;17.92
80;Tulane;AAC;;18;15;63.7;60.3;3.39;;7.74;;2.64;6.52;9.16;61.44;43.33;18.10
81;Toledo;MAC;;25;9;70.5;60.6;9.91;;1.92;;3.48;5.65;9.13;56.78;40.40;16.38
82;Middle Tennessee;CUSA;;23;11;70.0;63.6;6.41;;2.61;;5.39;3.63;9.02;68.34;50.01;18.33
83;Saint Mary's (CA);WCC;;20;13;70.5;62.2;8.33;;4.65;;7.98;0.81;8.80;59.47;45.87;13.60
84;Georgetown;Big East;;17;13;66.3;63.8;2.43;;6.30;;4.19;4.54;8.73;62.81;45.34;17.47
85;South Dakota;Summit;;23;9;73.3;60.0;13.31;;0.44;;5.67;2.87;8.54;65.39;49.27;16.13
86;Wake Forest;ACC;;16;16;64.0;66.0;-2.06;;10.57;;5.09;3.42;8.51;63.35;45.53;17.82
87;Vanderbilt;SEC;;14;16;68.7;71.1;-2.43;;10.89;;9.58;-1.12;8.45;66.95;49.36;17.60
88;Northern Iowa;MVC;;24;9;66.9;56.5;10.36;;-0.11;;1.65;6.68;8.33;60.53;44.12;16.40
89;Quinnipiac;MAAC;;29;7;68.4;58.6;9.72;;-1.41;;3.79;4.52;8.31;60.57;44.42;16.16
90;Ball State;MAC;;21;11;74.6;63.4;11.19;;-0.46;;7.43;0.66;8.09;62.64;47.70;14.94
91;Western Illinois;Summit;;26;7;80.0;64.7;15.27;;-1.13;;11.12;-3.44;7.68;60.50;46.73;13.76
92;IUPUI;Summit;;24;9;66.8;54.2;12.58;;0.18;;-0.36;7.99;7.63;58.32;43.24;15.07
93;UC Davis;Big West;;25;8;68.9;59.5;9.45;;0.71;;3.59;4.03;7.62;57.77;44.29;13.48
94;Ohio;MAC;;22;10;69.3;62.0;7.25;;0.16;;2.35;5.07;7.41;62.51;46.76;15.75
95;Boise State;MWC;;25;8;68.7;59.8;8.82;;3.11;;5.16;2.17;7.33;55.74;42.70;13.04
96;Pennsylvania;Ivy;;22;8;61.3;50.6;10.63;;-0.64;;-4.50;11.80;7.29;61.35;44.65;16.70
97;Florida Gulf Coast;A-Sun;;26;9;71.9;52.7;19.20;;-6.83;;2.86;4.25;7.11;58.08;43.64;14.45
98;Southern Methodist;AAC;;19;15;58.7;58.5;0.24;;6.47;;-3.10;9.81;6.71;52.36;36.95;15.41
99;Belmont;OVC;;27;6;77.6;63.7;13.91;;-5.16;;8.69;-2.22;6.46;69.08;54.17;14.91
100;Princeton;Ivy;;16;14;64.4;57.2;7.17;;-1.09;;0.67;5.41;6.08;58.41;44.47;13.94
101;New Mexico;MWC;;15;15;67.0;60.5;6.50;;2.26;;3.25;2.80;6.05;51.44;40.88;10.55
102;Pittsburgh;ACC;;13;17;60.9;58.4;2.50;;8.96;;-1.99;7.98;5.99;54.71;41.96;12.74
103;Charlotte;CUSA;;21;10;73.6;67.1;6.45;;-0.75;;7.52;-1.82;5.70;62.64;49.36;13.28
104;Chattanooga;Southern;;21;11;63.3;58.5;4.84;;0.83;;0.04;5.64;5.67;70.19;54.88;15.31
105;Buffalo;MAC;;22;10;67.9;61.6;6.28;;-0.67;;2.33;3.28;5.61;59.77;46.94;12.82
106;Little Rock;Sun Belt;;25;9;61.8;55.2;6.59;;-1.32;;-3.75;9.02;5.27;59.59;45.90;13.69
107;Southern Mississippi;CUSA;;23;11;70.3;61.6;8.71;;-0.93;;3.90;1.36;5.25;60.64;47.73;12.91
108;Nevada-Las Vegas;MWC;;22;11;60.2;54.3;5.97;;1.97;;-4.66;9.60;4.94;45.86;35.34;10.51
109;Northern Colorado;Big Sky;;22;8;70.7;59.1;11.57;;-2.17;;2.10;2.83;4.93;56.08;46.56;9.52
110;Santa Clara;WCC;;14;16;62.0;55.4;6.60;;5.05;;-2.43;7.35;4.92;47.80;39.00;8.80
111;Kansas;Big 12;;8;22;62.0;72.3;-10.33;;15.24;;3.71;1.20;4.91;57.40;45.13;12.28
112;Saint Joseph's;A-10;;17;15;63.5;60.1;3.41;;1.54;;0.97;3.91;4.88;62.33;49.73;12.61
113;Montana State;Big Sky;;25;7;72.3;62.0;10.22;;-1.16;;5.04;-0.30;4.74;53.39;44.13;9.26
114;Northern Illinois;MAC;;21;12;85.1;81.3;3.79;;0.53;;19.41;-15.10;4.32;69.82;59.60;10.22
115;Fordham;A-10;;22;12;59.6;56.2;3.38;;0.67;;-3.80;7.85;4.05;61.35;49.03;12.32
116;Clemson;ACC;;15;16;59.1;64.6;-5.58;;9.60;;-1.35;5.37;4.02;59.77;49.29;10.49
117;New Mexico State;WAC;;24;7;69.4;56.7;12.68;;-3.36;;1.66;2.36;4.02;56.58;47.09;9.50
118;Boston College;ACC;;9;21;59.4;65.4;-5.97;;9.96;;-1.21;5.21;4.00;57.83;47.13;10.70
119;Bucknell;Patriot;;27;6;67.4;59.0;8.36;;-4.37;;1.43;2.57;4.00;64.61;53.18;11.43
120;San Diego;WCC;;14;16;63.5;63.4;0.10;;2.09;;0.56;3.03;3.59;;;
121;Long Beach State;Big West;;23;11;66.1;61.6;4.53;;1.16;;1.40;2.12;3.53;57.43;48.75;8.68
122;Duquesne;A-10;;18;16;64.9;64.6;0.26;;2.69;;2.38;0.57;2.95;61.21;52.10;9.12
123;Mercer;Southern;;25;7;65.8;51.8;14.00;;-4.32;;-1.15;3.86;2.71;53.71;43.65;10.06
124;Old Dominion;CUSA;;17;14;71.0;69.4;1.61;;1.02;;6.03;-3.40;2.63;64.99;54.81;10.18
125;Louisiana Tech;CUSA;;18;14;68.3;60.1;8.19;;-0.70;;1.16;1.46;2.62;57.30;47.97;9.33
126;Kent State;MAC;;19;13;71.0;70.8;0.28;;2.30;;5.50;-2.93;2.58;61.72;52.82;8.89
127;San Francisco;WCC;;18;13;68.7;64.8;3.84;;3.07;;4.30;-1.88;2.42;54.40;50.21;4.19
128;Troy;Sun Belt;;22;11;82.5;69.3;13.18;;-4.26;;15.09;-12.67;2.42;55.87;47.81;8.06
129;Oakland;Horizon;;18;12;76.6;64.6;11.97;;-2.44;;7.14;-4.79;2.35;55.36;48.69;6.68
130;William & Mary;CAA;;20;11;62.9;58.5;4.39;;-2.29;;-2.17;4.27;2.09;60.07;50.52;9.55
131;UT Arlington;Sun Belt;;22;9;68.4;57.8;10.55;;-4.19;;0.72;1.37;2.08;54.14;45.39;8.75
132;Harvard;Ivy;;21;9;63.8;60.6;3.20;;-1.23;;-0.12;2.08;1.97;59.50;50.99;8.50
133;UC Riverside;Big West;;16;15;66.1;63.5;2.52;;-0.61;;1.54;0.36;1.91;56.91;51.07;5.84
134;Western Michigan;MAC;;19;13;69.0;65.8;3.22;;-1.45;;0.93;0.84;1.76;59.92;52.63;7.28
135;Idaho;Big Sky;;19;15;72.1;65.8;6.26;;0.18;;6.39;-4.68;1.71;59.98;53.57;6.41
136;Navy;Patriot;;24;10;66.5;58.3;8.21;;-3.93;;-0.47;2.18;1.71;57.72;49.73;8.00
137;Rice;CUSA;;22;13;68.2;60.6;7.63;;-3.42;;0.06;1.55;1.61;59.33;51.18;8.14
138;Wright State;Horizon;;25;9;68.6;58.2;10.32;;-4.19;;-0.36;1.76;1.41;55.10;48.44;6.67
139;North Dakota;Big Sky;;20;11;71.8;63.9;7.90;;0.13;;4.21;-2.87;1.34;50.67;45.69;4.98
140;Fresno State;MWC;;18;15;60.1;56.5;3.55;;2.10;;-5.05;6.28;1.23;48.04;43.61;4.43
141;Omaha;Summit;;16;15;69.8;62.9;6.87;;0.92;;3.54;-2.31;1.23;60.16;54.13;6.03
142;Xavier;Big East;;12;18;62.2;64.2;-2.03;;3.22;;-1.77;2.96;1.19;58.11;50.96;7.16
143;Tulsa;AAC;;10;21;63.6;71.9;-8.23;;9.41;;4.27;-3.09;1.18;60.96;54.42;6.54
144;Illinois;Big Ten;;9;22;62.4;70.1;-7.65;;8.63;;0.15;0.84;0.99;58.73;51.72;7.00
145;Milwaukee;Horizon;;22;12;72.4;66.8;5.65;;-4.67;;4.34;-3.37;0.98;63.67;56.93;6.74
146;Eastern Washington;Big Sky;;19;14;67.3;63.6;3.67;;-0.10;;0.05;0.88;0.93;54.50;49.06;5.44
147;Central Arkansas;Southland;;26;5;68.5;45.0;23.45;;-9.62;;-5.38;6.02;0.64;48.15;40.71;7.43
148;UTSA;CUSA;;14;16;70.2;64.9;5.27;;0.22;;4.38;-3.76;0.62;54.70;48.35;6.35
149;Nebraska;Big Ten;;7;22;62.8;76.3;-13.59;;14.16;;2.55;-1.97;0.58;58.76;53.21;5.55
150;Abilene Christian;Southland;;23;9;71.8;55.6;16.22;;-5.91;;1.73;-1.19;0.54;54.00;47.22;6.79
151;Memphis;AAC;;14;16;58.4;62.3;-3.90;;4.32;;-4.23;4.65;0.42;56.37;50.22;6.15
152;Providence;Big East;;12;18;62.0;63.9;-1.83;;2.19;;-2.54;2.90;0.36;60.06;55.29;4.77
153;Loyola Marymount;WCC;;14;16;66.0;64.4;1.60;;2.62;;1.92;-1.58;0.35;50.00;47.45;2.55
154;Detroit Mercy;Horizon;;18;14;70.5;67.1;3.41;;-3.09;;3.71;-3.39;0.32;58.91;53.68;5.23
155;Lamar;Southland;;22;8;73.5;48.6;24.87;;-9.48;;0.65;-0.39;0.25;43.18;38.23;4.95
156;Missouri State;MVC;;16;15;65.0;62.1;2.90;;-0.85;;1.11;-1.13;-0.01;56.32;51.52;4.80
157;Stetson;A-Sun;;26;7;70.2;53.3;16.91;;-9.24;;-0.98;0.98;-0.01;54.38;47.91;6.46
158;Oral Roberts;Summit;;15;15;63.5;60.4;3.10;;2.53;;-2.52;2.48;-0.04;49.57;45.76;3.81
159;Cal State Northridge;Big West;;18;14;66.3;64.7;1.63;;0.70;;1.81;-1.86;-0.05;54.73;50.72;4.01
160;Army;Patriot;;22;9;66.6;56.0;10.68;;-8.32;;-2.26;1.98;-0.29;53.80;48.59;5.21
161;Virginia Commonwealth;A-10;;16;15;63.2;63.9;-0.68;;0.38;;0.11;-0.41;-0.30;61.61;55.81;5.80
162;Pacific;WCC;;10;21;69.3;62.7;6.58;;4.73;;3.59;-3.93;-0.34;48.19;47.91;0.28
163;Delaware;CAA;;16;14;57.1;58.0;-0.90;;0.52;;-6.43;6.05;-0.38;55.24;49.98;5.26
164;Rutgers;Big Ten;;6;24;50.5;61.6;-11.10;;10.65;;-10.35;9.91;-0.45;50.70;47.77;2.93
165;Maine;AEC;;18;16;59.9;58.0;1.82;;-2.33;;-4.63;4.12;-0.51;57.17;52.05;5.12
166;UC Santa Barbara;Big West;;16;16;62.6;59.7;2.91;;-1.05;;-2.67;2.12;-0.55;52.62;48.08;4.54
167;Wisconsin;Big Ten;;9;22;60.9;69.7;-8.87;;8.18;;-1.75;1.06;-0.69;53.89;49.95;3.94
168;Cincinnati;AAC;;16;14;63.7;62.5;1.20;;1.19;;-0.92;0.18;-0.74;54.29;49.70;4.59
169;Rider;MAAC;;24;9;65.5;60.3;5.12;;-6.00;;-1.11;0.24;-0.88;54.74;50.52;4.23
170;Stephen F. Austin;Southland;;25;8;73.2;53.8;19.33;;-9.26;;2.19;-3.08;-0.89;48.24;45.00;3.24
171;UAB;CUSA;;15;15;66.4;62.8;3.60;;-1.24;;-2.13;0.95;-1.17;57.72;52.95;4.77
172;Cornell;Ivy;;16;11;62.2;59.4;2.78;;-4.09;;-4.37;3.06;-1.31;57.16;53.19;3.97
173;La Salle;A-10;;17;13;62.5;61.6;0.90;;-2.56;;-1.46;-0.20;-1.66;54.90;51.48;3.42
174;New Hampshire;AEC;;26;6;61.3;53.8;7.50;;-7.81;;-5.54;3.60;-1.94;53.72;49.74;3.98
175;Albany (NY);AEC;;21;12;66.2;62.1;4.15;;-3.70;;1.22;-3.29;-2.07;54.02;51.17;2.85
176;Utah State;MWC;;17;15;58.8;58.2;0.66;;-0.45;;-5.55;3.46;-2.10;47.73;47.28;0.45
177;Idaho State;Big Sky;;19;14;60.7;59.2;1.52;;-1.32;;-6.35;4.19;-2.17;48.15;47.00;1.15
178;Wichita State;MVC;;15;16;64.9;65.5;-0.68;;-1.50;;0.18;-2.35;-2.17;56.32;54.66;1.66
179;Cal Poly;Big West;;11;18;67.4;68.6;-1.17;;-1.07;;1.55;-3.79;-2.24;54.41;53.59;0.83
180;Seattle;WAC;;15;18;63.7;61.5;2.21;;-2.50;;-1.63;-0.68;-2.31;52.46;50.51;1.94
181;American;Patriot;;15;16;60.8;59.3;1.48;;-3.85;;-5.33;2.97;-2.37;56.05;53.70;2.35
182;Jacksonville;A-Sun;;23;9;67.8;54.2;13.59;;-6.56;;-3.15;0.36;-2.80;47.40;45.32;2.08
183;San Jose State;MWC;;11;21;71.4;75.2;-3.81;;4.04;;9.37;-12.17;-2.80;54.11;55.07;-0.96
184;Yale;Ivy;;15;12;61.1;60.5;0.67;;-3.54;;-3.55;0.68;-2.87;53.86;52.10;1.77
185;Butler;Big East;;6;25;57.8;67.6;-9.81;;6.85;;-3.17;0.22;-2.95;53.02;52.06;0.96
186;Cal State Bakersfield;WAC;;15;14;63.9;58.3;5.59;;-3.00;;-3.38;0.37;-3.00;49.55;49.46;0.09
187;North Texas;CUSA;;12;19;60.5;64.7;-4.19;;1.07;;-4.57;1.44;-3.13;51.65;50.32;1.33
188;Iona;MAAC;;18;13;59.2;57.6;1.65;;-4.80;;-6.86;3.71;-3.16;52.14;50.83;1.31
189;Brown;Ivy;;17;13;72.3;67.6;4.67;;-5.23;;6.48;-9.98;-3.51;57.89;56.95;0.94
190;Houston;AAC;;12;19;61.2;67.9;-6.77;;3.08;;-1.31;-2.38;-3.69;52.13;51.55;0.57
191;George Mason;A-10;;13;17;60.6;62.4;-1.87;;-1.99;;-3.50;-0.35;-3.85;54.48;53.96;0.53
192;Northeastern;CAA;;12;19;58.5;65.0;-6.45;;2.48;;-4.04;0.08;-3.97;54.75;55.41;-0.66
193;Hartford;AEC;;17;14;66.8;64.3;2.58;;-6.76;;0.50;-4.68;-4.18;58.06;57.81;0.25
194;Nevada;MWC;;11;19;67.1;66.2;0.87;;-0.37;;2.71;-7.00;-4.30;45.19;47.94;-2.75
195;Morehead State;OVC;;21;10;72.3;62.8;9.55;;-7.95;;0.93;-5.29;-4.36;48.57;48.10;0.47
196;Hofstra;CAA;;13;18;61.5;65.3;-3.74;;-0.63;;-3.02;-1.35;-4.37;54.53;54.94;-0.41
197;Marshall;CUSA;;13;17;71.7;66.5;5.17;;-2.39;;1.89;-6.36;-4.46;55.04;54.45;0.59
198;Seton Hall;Big East;;12;19;64.2;71.5;-7.23;;4.68;;2.39;-6.87;-4.48;57.13;57.59;-0.46
199;East Tennessee State;Southern;;16;14;65.0;64.2;0.83;;-5.39;;-0.87;-3.68;-4.55;56.65;56.68;-0.03
200;Richmond;A-10;;13;17;57.0;58.7;-1.70;;-3.02;;-7.93;3.21;-4.72;52.40;53.21;-0.81
201;Towson;CAA;;12;18;62.3;65.5;-3.20;;-1.63;;-2.44;-2.39;-4.83;53.73;54.57;-0.84
202;East Carolina;AAC;;11;19;62.0;69.1;-7.07;;6.12;;-0.54;-4.34;-4.88;52.34;53.46;-1.13
203;Hawaii;Big West;;12;18;59.2;62.2;-3.03;;1.30;;-7.17;2.29;-4.88;47.90;51.30;-3.40
204;Louisiana;Sun Belt;;20;11;69.3;60.7;8.58;;-6.26;;0.59;-5.65;-5.06;53.10;52.82;0.28
205;College of Charleston;CAA;;9;21;64.4;70.0;-5.60;;0.41;;0.91;-6.10;-5.19;54.60;55.29;-0.69
206;Radford;Big South;;24;9;60.9;51.7;9.21;;-10.39;;-8.82;3.55;-5.26;47.47;46.32;1.15
207;Grand Canyon;WAC;;15;12;65.2;63.7;1.52;;-3.76;;-2.17;-3.28;-5.45;53.42;56.05;-2.63
208;Portland State;Big Sky;;16;17;68.8;69.0;-0.24;;-2.30;;0.34;-5.80;-5.46;50.85;53.53;-2.68
209;Northern Arizona;Big Sky;;9;21;69.6;69.1;0.53;;-2.30;;-0.38;-5.13;-5.51;54.78;57.91;-3.13
210;Columbia;Ivy;;13;14;64.1;64.4;-0.30;;-5.48;;-2.09;-3.69;-5.77;54.32;56.88;-2.56
211;Furman;Southern;;14;17;61.9;54.9;7.03;;-4.88;;-5.61;-0.16;-5.77;47.88;49.12;-1.24
212;Texas State;Sun Belt;;16;15;58.6;56.5;2.10;;-6.29;;-9.14;3.32;-5.82;49.57;50.51;-0.94
213;Siena;MAAC;;14;16;65.8;66.7;-0.87;;-4.97;;-0.30;-5.54;-5.84;55.78;58.13;-2.35
214;Hampton;MEAC;;20;13;60.5;57.2;3.24;;-6.18;;-5.42;-0.57;-5.99;45.28;46.26;-0.98
215;Fairfield;MAAC;;17;14;58.2;57.5;0.71;;-6.92;;-9.24;3.02;-6.21;53.20;56.06;-2.87
216;Southern Illinois;MVC;;16;15;64.1;63.6;0.52;;-3.36;;-3.81;-2.48;-6.29;53.62;57.23;-3.61
217;Texas-Rio Grande Valley;WAC;;19;14;63.2;57.5;5.73;;-5.42;;-4.64;-1.72;-6.36;43.95;46.42;-2.48
218;Weber State;Big Sky;;13;18;67.8;66.7;1.06;;-2.12;;0.09;-6.44;-6.36;49.89;54.23;-4.33
219;Pepperdine;WCC;;7;23;60.8;67.1;-6.27;;2.49;;-2.81;-3.70;-6.51;46.37;54.64;-8.27
220;Cleveland State;Horizon;;14;16;65.6;65.4;0.23;;-2.66;;-0.75;-5.81;-6.56;52.05;55.58;-3.54
221;Samford;Southern;;12;19;55.2;56.5;-1.39;;-2.88;;-10.88;4.16;-6.72;49.23;52.80;-3.57
222;Appalachian State;Sun Belt;;12;19;62.8;65.0;-2.16;;-4.60;;-3.42;-3.35;-6.77;49.45;52.26;-2.82
223;St. Bonaventure;A-10;;9;20;55.6;61.4;-5.83;;-0.94;;-8.82;2.05;-6.77;49.48;53.65;-4.17
224;Bowling Green State;MAC;;8;23;62.6;63.2;-0.61;;1.69;;-3.56;-3.29;-6.85;47.09;50.97;-3.88
225;Indiana State;MVC;;12;18;55.1;57.7;-2.60;;-4.27;;-11.42;4.55;-6.87;42.79;47.58;-4.79
226;Portland;WCC;;6;24;58.2;62.2;-3.97;;6.45;;-4.75;-2.18;-6.93;43.59;49.10;-5.51
