;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
81;Creighton;Big East;;17;14;68.7;66.7;2.00;;6.69;;6.91;1.78;8.69;73.04;55.53;17.52
82;Temple;AAC;;20;17;66.4;65.2;1.16;;7.36;;6.73;1.79;8.52;66.59;48.97;17.62
83;Texas Tech;Big 12;;15;16;58.3;59.3;-0.97;;9.51;;-1.32;9.56;8.24;60.61;44.15;16.46
84;Cal State Northridge;Big West;;23;10;67.2;59.0;8.21;;-0.26;;2.42;5.54;7.96;57.48;42.89;14.59
85;Florida;SEC;;13;17;61.9;59.8;2.17;;7.24;;2.94;4.20;7.14;59.80;44.70;15.10
86;Stetson;A-Sun;;23;8;71.7;56.7;15.03;;-2.65;;4.91;1.93;6.84;57.94;43.86;14.08
87;San Diego;WCC;;25;7;55.3;57.4;-2.16;;-0.36;;1.03;5.74;6.77;;;
88;Hawaii;Big West;;23;9;68.5;56.8;11.72;;-0.55;;2.30;4.04;6.35;54.44;42.09;12.34
89;Ball State;MAC;;17;14;64.4;60.3;4.10;;1.57;;1.15;4.53;5.67;63.87;51.21;12.65
90;Brigham Young;WCC;;23;10;68.1;59.7;8.45;;2.90;;4.57;1.05;5.62;57.94;47.58;10.37
91;Oregon;Pac-12;;13;17;65.3;67.9;-2.60;;8.18;;4.63;0.95;5.58;63.43;51.76;11.67
92;Pennsylvania;Ivy;;21;9;60.5;52.9;7.63;;0.50;;-2.77;8.23;5.46;60.12;46.05;14.07
93;Long Beach State;Big West;;22;10;67.4;57.4;10.03;;-0.86;;2.59;2.65;5.24;50.86;40.98;9.88
94;Pacific;WCC;;21;10;70.8;58.3;12.55;;1.64;;4.61;0.55;5.16;54.70;44.78;9.93
95;Arkansas State;Sun Belt;;24;11;71.0;63.1;7.89;;-0.65;;6.43;-1.29;5.14;65.63;52.68;12.95
96;Montana;Big Sky;;24;9;64.6;55.0;9.58;;-1.23;;-1.40;6.53;5.12;56.21;44.17;12.04
97;American;Patriot;;24;9;63.5;57.8;5.70;;-0.68;;-0.47;5.49;5.02;67.03;53.33;13.70
98;Fordham;A-10;;21;12;59.3;53.9;5.36;;1.21;;-4.20;9.17;4.97;56.61;43.80;12.80
99;South Dakota;Summit;;26;8;77.2;66.7;10.50;;-2.44;;9.37;-4.48;4.90;64.21;52.92;11.29
100;Utah;Pac-12;;9;21;54.9;59.7;-4.80;;9.63;;-6.95;11.79;4.83;56.08;46.24;9.84
101;Southern Mississippi;CUSA;;25;11;68.3;59.7;8.61;;0.38;;2.94;1.87;4.81;57.77;45.50;12.28
102;Wake Forest;ACC;;13;20;67.0;71.3;-4.33;;9.12;;6.88;-2.09;4.79;64.84;52.57;12.28
103;Boise State;MWC;;22;11;70.6;59.3;11.36;;-2.52;;3.82;0.95;4.77;55.05;44.74;10.30
104;Colorado State;MWC;;23;8;66.2;54.2;11.94;;-2.06;;-2.12;6.83;4.70;49.95;41.22;8.73
105;Saint Joseph's;A-10;;13;17;61.6;62.0;-0.40;;5.08;;-0.28;4.96;4.68;62.04;49.86;12.18
106;Tulsa;AAC;;18;14;66.3;67.0;-0.72;;5.34;;5.34;-0.72;4.62;65.12;53.39;11.73
107;Saint Mary's (CA);WCC;;23;11;66.9;61.9;5.00;;3.10;;1.65;2.86;4.51;56.65;47.75;8.90
108;Sacramento State;Big Sky;;18;16;85.6;80.8;4.82;;-0.37;;20.46;-16.00;4.46;64.36;54.34;10.02
109;Alabama;SEC;;13;19;59.7;62.3;-2.66;;7.05;;-0.64;5.03;4.39;56.78;45.41;11.38
110;Penn State;Big Ten;;6;24;62.9;70.8;-7.90;;12.22;;3.17;1.16;4.32;59.51;48.36;11.15
111;Akron;MAC;;22;9;74.4;64.9;9.48;;-2.39;;9.51;-5.33;4.18;64.54;54.52;10.02
112;Boston College;ACC;;13;17;65.3;71.1;-5.73;;9.32;;5.23;-1.64;3.59;63.79;53.27;10.52
113;Richmond;A-10;;19;14;63.1;61.4;1.70;;1.76;;-0.26;3.72;3.45;59.99;49.69;10.31
114;Fresno State;MWC;;23;10;64.1;54.4;9.70;;0.54;;-0.96;4.28;3.32;45.11;38.05;7.06
115;Hofstra;CAA;;20;13;62.0;58.3;3.70;;-0.41;;-1.47;4.76;3.29;56.44;45.98;10.46
116;Drake;MVC;;20;11;76.2;68.7;7.45;;-1.03;;10.96;-7.69;3.27;64.64;54.88;9.77
117;Charlotte;CUSA;;15;17;66.4;64.7;1.72;;1.52;;3.58;-0.34;3.24;62.97;53.34;9.64
118;Eastern Michigan;MAC;;24;13;68.9;59.2;9.70;;1.03;;3.26;-0.13;3.12;56.03;47.46;8.57
