;;;;;;;;;;;;SRS;;;Adjusted;;
114;Harvard;Ivy;;21;9;67.6;62.6;4.97;;-2.02;;6.16;-3.21;2.95;69.68;61.32;8.37
115;Arizona;Pac-12;;12;18;62.5;65.8;-3.27;;6.00;;3.57;-0.83;2.73;58.78;52.36;6.42
116;Detroit Mercy;Horizon;;21;13;70.2;59.7;10.44;;-0.46;;5.86;-3.13;2.73;64.24;57.39;6.86
117;Idaho State;Big Sky;;18;13;61.1;54.3;6.77;;-2.33;;-3.35;5.98;2.64;54.69;47.00;7.69
118;UAB;CUSA;;18;13;61.2;55.7;5.48;;-2.95;;-2.94;5.47;2.53;58.05;49.54;8.51
119;Oral Roberts;Southland;;18;13;69.7;54.9;14.74;;-2.48;;4.93;-2.52;2.42;55.50;47.77;7.73
120;Florida International;Sun Belt;;19;13;61.3;59.1;2.16;;0.21;;-1.54;3.90;2.36;63.89;55.55;8.34
121;Bradley;MVC;;14;16;71.3;70.0;1.30;;1.05;;8.30;-5.95;2.35;63.72;56.54;7.18
122;Temple;A-10;;14;18;54.5;56.9;-2.41;;4.75;;-3.21;5.55;2.35;57.42;50.46;6.97
123;Cal State Northridge;Big West;;16;16;59.4;58.8;0.69;;1.52;;-1.45;3.66;2.21;51.86;45.72;6.15
124;Appalachian State;Southern;;20;11;68.7;57.6;11.16;;-6.36;;3.72;-1.59;2.14;58.42;52.19;6.24
125;Hartford;AEC;;21;12;57.8;53.7;4.06;;-1.94;;-3.57;5.68;2.12;60.91;53.71;7.20
126;Indiana State;MVC;;18;13;58.7;55.5;3.13;;-1.13;;-4.66;6.66;2.00;55.27;48.52;6.75
127;Loyola Marymount;WCC;;13;18;65.2;62.3;2.94;;3.79;;5.38;-3.63;1.75;55.37;50.49;4.88
128;Cincinnati;Big East;;12;18;53.1;58.3;-5.20;;6.91;;-5.61;7.32;1.71;59.18;53.86;5.32
129;Tulsa;CUSA;;17;17;63.4;60.9;2.44;;2.04;;1.67;-0.06;1.61;58.55;52.05;6.50
130;Alabama;SEC;;13;18;64.9;70.0;-5.03;;6.59;;5.90;-4.35;1.56;57.95;51.84;6.11
131;Davidson;Southern;;22;13;62.7;57.3;5.43;;-3.93;;-0.73;2.23;1.50;60.12;53.37;6.75
132;Indiana;Big Ten;;11;19;55.2;61.0;-5.87;;7.34;;-2.73;4.19;1.47;59.57;54.47;5.11
133;Stetson;A-Sun;;24;9;68.7;57.6;11.06;;-8.03;;2.64;-1.29;1.35;63.65;56.44;7.21
134;UC Santa Barbara;Big West;;16;17;51.3;52.9;-1.58;;2.87;;-9.36;10.66;1.29;53.96;49.48;4.49
135;Miami (OH);MAC;;19;13;65.5;61.2;4.38;;-3.13;;1.84;-0.60;1.25;65.74;59.21;6.53
136;Clemson;ACC;;9;21;54.4;63.3;-8.93;;10.06;;-2.74;3.87;1.13;56.20;50.99;5.22
137;Navy;Patriot;;21;12;58.0;52.0;6.00;;-4.87;;-5.17;6.30;1.13;62.24;55.64;6.60
138;Hofstra;CAA;;14;17;63.3;67.2;-3.90;;4.97;;4.13;-3.07;1.06;58.53;52.33;6.20
139;Memphis;CUSA;;17;15;68.4;66.4;1.94;;-0.88;;6.12;-5.06;1.06;62.15;56.85;5.30
140;UCF;CUSA;;16;18;61.4;61.6;-0.18;;1.22;;0.51;0.53;1.04;56.45;50.73;5.72
141;George Washington;A-10;;14;16;58.9;60.2;-1.27;;2.25;;-0.71;1.69;0.98;57.46;52.37;5.09
142;Xavier;A-10;;13;16;60.2;60.6;-0.34;;1.30;;0.90;0.06;0.95;61.46;56.67;4.79
143;Eastern Washington;Big Sky;;19;13;64.8;61.1;3.69;;-1.56;;1.87;-1.50;0.38;60.74;55.89;4.85
144;Western Kentucky;Sun Belt;;22;11;68.7;66.0;2.70;;-2.39;;5.68;-5.37;0.31;63.32;58.78;4.55
145;Butler;A-10;;17;14;59.0;59.8;-0.74;;0.97;;-1.08;1.30;0.23;59.34;55.24;4.10
146;Long Beach State;Big West;;16;16;60.0;58.3;1.72;;0.49;;-0.84;0.95;0.11;55.25;51.90;3.35
147;St. Bonaventure;A-10;;10;19;54.8;56.9;-2.10;;1.90;;-4.66;4.46;-0.20;59.81;56.09;3.72
148;Seton Hall;Big East;;11;20;53.2;61.5;-8.29;;8.09;;-4.20;3.99;-0.21;57.80;54.76;3.05
149;Arkansas State;Sun Belt;;15;15;61.4;60.4;1.03;;-1.28;;-2.20;1.95;-0.25;59.73;55.40;4.32
150;Howard;MEAC;;20;12;55.5;47.8;7.63;;-4.89;;-7.65;7.37;-0.28;53.13;47.82;5.31
151;Northern Colorado;Big Sky;;21;13;59.9;53.1;6.82;;-1.86;;-5.03;4.74;-0.29;52.26;47.90;4.35
152;North Carolina A&T;MEAC;;22;10;61.8;50.7;11.09;;-7.11;;-1.39;0.95;-0.43;56.30;52.10;4.20
153;Eastern Illinois;OVC;;20;12;68.2;62.9;5.25;;-3.16;;2.39;-2.91;-0.52;59.39;56.47;2.91
154;Seattle;WAC;;20;11;67.4;63.2;4.19;;-4.80;;1.38;-1.98;-0.61;54.69;51.87;2.81
155;South Dakota;Summit;;19;16;63.5;53.5;10.03;;-3.99;;-2.59;1.78;-0.81;53.80;50.22;3.58
156;Sacred Heart;NEC;;22;11;62.6;56.4;6.18;;-7.07;;-2.60;1.71;-0.89;58.29;55.53;2.76
157;Ball State;MAC;;17;16;58.8;58.9;-0.03;;-1.03;;-4.28;3.22;-1.06;54.43;52.17;2.26
158;Pittsburgh;Big East;;9;21;58.7;66.2;-7.47;;5.91;;-0.49;-1.07;-1.56;59.89;59.08;0.81
159;McNeese State;Southland;;21;15;23.3;;;;-5.45;;2.42;-4.04;-1.62;;;
160;Portland;WCC;;11;20;60.0;59.8;0.16;;2.71;;-1.72;0.03;-1.68;51.36;50.82;0.53
161;Missouri State;MVC;;14;17;70.2;74.4;-4.19;;2.50;;9.38;-11.07;-1.70;63.82;61.86;1.96
162;Montana State;Big Sky;;17;13;62.9;57.0;5.87;;-3.22;;-2.37;0.62;-1.75;50.54;48.78;1.76
163;Santa Clara;WCC;;14;16;59.9;59.3;0.53;;2.48;;-1.56;-0.19;-1.75;51.25;50.51;0.74
164;Pennsylvania;Ivy;;18;13;58.5;56.3;2.23;;-3.92;;-3.53;1.74;-1.79;59.79;57.66;2.13
165;Loyola (IL);Horizon;;17;15;65.9;65.8;0.06;;-1.89;;2.08;-3.91;-1.83;61.45;60.37;1.08
166;New Mexico;MWC;;17;14;58.9;59.6;-0.71;;-1.22;;-4.45;2.51;-1.93;51.09;48.09;3.00
167;Mississippi State;SEC;;13;17;55.2;60.5;-5.27;;5.16;;-5.53;3.59;-1.94;50.77;49.85;0.92
168;Sacramento State;Big Sky;;19;12;72.4;70.9;1.45;;-3.59;;8.89;-11.03;-2.14;58.30;58.07;0.23
169;Georgia State;CAA;;13;16;61.4;61.8;-0.45;;-1.78;;-0.91;-1.32;-2.23;56.40;55.23;1.17
170;Houston;CUSA;;13;17;63.4;63.1;0.37;;-0.09;;1.44;-3.69;-2.25;55.08;53.43;1.65
171;Providence;Big East;;7;23;59.5;72.1;-12.63;;10.38;;3.39;-5.65;-2.26;60.41;59.73;0.68
172;UC Davis;Big West;;12;18;60.7;63.8;-3.07;;0.79;;-0.31;-1.97;-2.27;54.77;54.77;0.00
173;Mississippi;SEC;;9;20;64.7;69.3;-4.59;;5.03;;5.03;-7.35;-2.31;59.55;57.84;1.72
174;Winthrop;Big South;;21;12;68.8;62.6;6.24;;-6.22;;3.38;-5.75;-2.38;60.53;58.39;2.15
175;Rice;CUSA;;14;16;57.1;59.3;-2.20;;1.49;;-4.85;2.45;-2.41;49.74;49.31;0.43
176;Tennessee Tech;OVC;;19;12;66.7;61.6;5.10;;-4.90;;1.76;-4.25;-2.50;61.95;61.02;0.92
177;Belmont;OVC;;18;14;61.3;57.3;3.91;;-6.60;;-4.14;1.45;-2.69;57.06;56.08;0.99
178;Utah State;WAC;;18;14;76.5;73.4;3.09;;-3.75;;12.15;-14.87;-2.72;62.00;61.05;0.95
179;South Alabama;Sun Belt;;17;13;57.2;54.2;3.00;;-3.03;;-9.12;6.23;-2.89;51.12;50.77;0.35
180;IUPUI;Summit;;20;12;62.3;55.0;7.22;;-4.67;;-3.23;0.33;-2.90;49.81;49.37;0.44
181;Cleveland State;Horizon;;13;17;66.8;65.9;0.90;;-1.45;;3.01;-5.94;-2.93;59.30;58.84;0.45
182;North Texas;Sun Belt;;11;19;66.7;68.5;-1.83;;-1.10;;3.46;-6.39;-2.93;59.21;58.21;1.00
183;Saint Louis;A-10;;12;19;54.0;57.9;-3.87;;0.90;;-7.42;4.45;-2.97;57.24;57.83;-0.59
184;San Francisco;WCC;;12;19;63.0;60.9;2.03;;2.10;;0.56;-3.63;-3.07;49.52;51.48;-1.96
185;Virginia Commonwealth;A-10;;11;19;59.1;61.6;-2.47;;-0.63;;-1.92;-1.18;-3.10;58.87;59.69;-0.82
186;Iona;MAAC;;20;13;65.1;63.2;1.91;;-5.12;;3.07;-6.28;-3.21;61.26;62.07;-0.82
187;Elon;Southern;;19;14;65.7;61.7;4.03;;-5.33;;2.22;-5.52;-3.30;59.34;59.11;0.23
188;Idaho;WAC;;17;16;64.8;66.8;-2.03;;-1.58;;-0.27;-3.34;-3.61;57.73;57.80;-0.06
189;South Carolina State;MEAC;;20;9;62.1;46.4;15.66;;-9.02;;-3.74;0.09;-3.65;47.80;46.89;0.91
190;UC Riverside;Big West;;11;18;60.3;65.1;-4.72;;1.02;;-1.02;-2.69;-3.71;54.81;56.90;-2.08
191;Oregon;Pac-12;;4;27;60.8;75.6;-14.81;;10.94;;4.37;-8.24;-3.87;55.61;56.25;-0.64
192;Drake;MVC;;11;20;66.0;69.6;-3.55;;-0.34;;3.44;-7.33;-3.89;59.40;60.48;-1.08
193;Army;Patriot;;22;9;57.3;50.0;7.32;;-8.94;;-7.68;3.75;-3.94;56.21;57.04;-0.83
194;Florida Atlantic;Sun Belt;;12;17;68.0;69.6;-1.59;;-2.51;;4.88;-8.97;-4.09;58.91;60.05;-1.14
195;Omaha;Summit;;17;11;60.3;49.4;10.82;;-7.68;;-6.66;2.50;-4.16;48.07;49.23;-1.16
196;Colorado State;MWC;;11;19;56.3;57.7;-1.43;;0.40;;-7.73;3.30;-4.43;48.04;51.32;-3.28
197;American;Patriot;;15;14;56.9;57.7;-0.79;;-3.65;;-4.48;0.04;-4.44;58.23;60.54;-2.31
198;Lamar;Southland;;22;11;63.6;48.5;15.12;;-6.29;;-4.32;-0.15;-4.46;42.80;43.05;-0.25
199;Southern Utah;Big Sky;;15;16;69.7;65.8;3.90;;-5.22;;4.03;-8.51;-4.48;55.04;56.78;-1.74
200;Sam Houston;Southland;;18;15;62.7;57.0;5.70;;-4.65;;-1.84;-2.97;-4.81;53.08;54.55;-1.47
201;College of Charleston;Southern;;16;16;62.3;63.3;-0.97;;-3.89;;-1.18;-3.68;-4.86;51.70;54.18;-2.48
202;Fairfield;MAAC;;18;14;53.9;53.0;0.97;;-5.86;;-9.57;4.67;-4.89;57.09;59.78;-2.69
203;Yale;Ivy;;13;15;64.3;67.4;-3.11;;-2.03;;2.75;-7.89;-5.14;59.37;61.88;-2.50
204;Eastern Michigan;MAC;;8;22;56.3;62.8;-6.50;;1.35;;-5.23;0.07;-5.15;54.26;57.94;-3.69
205;Evansville;MVC;;9;21;58.3;65.6;-7.27;;2.07;;-3.91;-1.29;-5.20;57.89;61.01;-3.12
206;Denver;WAC;;14;17;66.0;67.5;-1.52;;-3.72;;0.14;-5.38;-5.24;58.94;61.50;-2.56
207;Southern Mississippi;CUSA;;15;16;63.1;58.8;4.35;;-1.49;;0.15;-5.40;-5.25;49.79;52.42;-2.63
208;UTSA;WAC;;16;14;60.8;56.7;4.13;;-6.57;;-7.79;2.47;-5.33;48.16;50.66;-2.50
209;La Salle;A-10;;8;21;53.9;62.7;-8.86;;3.43;;-4.82;-0.62;-5.43;53.27;57.33;-4.06
210;Louisiana Tech;WAC;;14;17;62.8;64.9;-2.10;;-1.82;;-1.42;-4.11;-5.53;50.78;53.83;-3.05
211;SIU Edwardsville;OVC;;16;15;62.3;63.7;-1.45;;-4.11;;-3.17;-2.40;-5.57;56.33;59.99;-3.66
212;North Dakota;Big Sky;;11;18;59.4;61.3;-1.86;;-1.48;;-4.25;-1.40;-5.66;48.52;52.12;-3.60
213;Northern Illinois;MAC;;7;23;54.3;59.5;-5.17;;-0.59;;-8.75;3.00;-5.75;55.35;60.18;-4.83
214;Buffalo;MAC;;12;20;61.2;64.5;-3.31;;-2.52;;-1.79;-4.04;-5.83;55.13;59.64;-4.51
215;Cal State Fullerton;Big West;;11;22;53.9;60.3;-6.39;;0.38;;-7.65;1.63;-6.01;49.13;54.51;-5.38
216;Valparaiso;Horizon;;11;20;62.1;66.9;-4.77;;1.42;;-0.09;-5.96;-6.04;56.77;61.42;-4.66
217;Holy Cross;Patriot;;18;14;59.9;61.5;-1.66;;-4.50;;-2.07;-4.10;-6.16;59.69;64.93;-5.25
218;High Point;Big South;;17;13;65.2;61.1;4.10;;-7.72;;-1.19;-5.02;-6.20;51.01;54.13;-3.12
219;Lehigh;Patriot;;14;16;56.1;56.4;-0.30;;-5.99;;-5.80;-0.50;-6.29;50.53;55.94;-5.41
220;Eastern Kentucky;OVC;;18;12;61.3;59.0;2.27;;-6.33;;-5.09;-1.25;-6.33;48.01;52.07;-4.06
221;Western Illinois;Summit;;14;16;64.3;59.9;4.40;;-5.69;;-0.88;-5.46;-6.33;52.45;56.62;-4.17
222;Nevada-Las Vegas;MWC;;12;19;63.0;68.0;-5.03;;-1.39;;0.94;-7.36;-6.42;51.01;54.98;-3.97
223;Murray State;OVC;;16;13;65.8;61.6;4.21;;-6.90;;-2.11;-4.37;-6.47;52.76;57.01;-4.25
224;William & Mary;CAA;;8;22;61.1;65.1;-4.03;;0.33;;-0.26;-6.27;-6.53;56.24;61.19;-4.95
225;Central Connecticut State;NEC;;16;14;61.1;60.4;0.73;;-7.33;;-3.86;-2.73;-6.60;52.68;58.04;-5.36
