;;;;;;;;;;;;SRS;;;Adjusted;;
79;Saint Joseph's;A-10;;22;11;65.2;60.5;4.73;;3.53;;5.56;2.69;8.25;63.75;46.55;17.20
80;Illinois;Big Ten;;11;19;63.4;66.3;-2.83;;11.03;;5.42;2.77;8.20;57.47;41.09;16.38
81;San Diego State;MWC;;25;7;37.3;;;;-1.69;;2.24;5.91;8.15;;;
82;Creighton;MVC;;20;13;60.7;57.0;3.73;;4.38;;-0.01;8.11;8.11;55.70;38.38;17.33
83;Arizona;Pac-12;;15;17;66.3;63.6;2.72;;7.79;;9.09;-1.01;8.08;59.34;43.89;15.45
84;South Dakota State;Summit;;24;9;68.2;57.4;10.73;;-0.79;;4.89;3.07;7.96;58.97;42.52;16.45
85;Toledo;MAC;;24;10;64.1;57.2;6.91;;0.81;;1.45;6.27;7.72;58.01;41.42;16.59
86;Bowling Green State;MAC;;24;7;66.6;54.4;12.26;;-1.92;;1.30;6.41;7.71;55.36;39.38;15.99
87;Marquette;Big East;;14;17;58.7;60.3;-1.52;;8.81;;1.48;5.82;7.29;57.45;41.39;16.06
88;Marist;MAAC;;26;8;65.0;55.7;9.29;;-2.01;;3.63;3.66;7.28;61.92;45.71;16.22
89;Saint Mary's (CA);WCC;;22;11;65.6;57.1;8.52;;5.58;;4.41;2.67;7.08;52.15;38.79;13.36
90;Seattle;Ind;;20;12;71.5;61.6;9.94;;-0.81;;7.05;-0.49;6.56;55.57;42.41;13.16
91;Wichita State;MVC;;20;13;63.6;58.1;5.48;;1.06;;1.13;5.42;6.55;54.29;39.66;14.64
92;Memphis;CUSA;;25;8;68.7;59.8;8.88;;-2.37;;6.26;0.25;6.51;54.73;39.37;15.36
93;Illinois State;MVC;;19;13;67.7;63.9;3.75;;2.60;;6.84;-0.49;6.35;59.91;45.69;14.23
94;Charlotte;A-10;;16;14;68.2;64.2;3.93;;2.23;;7.62;-1.45;6.17;61.05;46.63;14.42
95;Northwestern;Big Ten;;14;16;64.1;67.8;-3.70;;9.50;;5.17;0.63;5.80;55.90;42.55;13.35
96;Hofstra;CAA;;19;12;74.9;72.7;2.13;;3.51;;14.42;-8.79;5.64;61.48;48.25;13.22
97;Nevada-Las Vegas;MWC;;22;10;62.6;57.5;5.13;;0.14;;1.14;4.13;5.27;50.59;38.53;12.06
98;Oregon;Pac-12;;15;16;71.0;74.8;-3.84;;9.04;;12.61;-7.41;5.20;58.26;46.45;11.80
99;McNeese State;Southland;;26;8;23.7;;;;-5.16;;-0.13;5.16;5.02;;;
100;Detroit Mercy;Horizon;;20;14;64.7;60.6;4.03;;0.93;;3.09;1.87;4.96;61.01;48.30;12.71
101;Tennessee-Martin;OVC;;23;9;80.1;69.0;11.06;;-6.17;;13.30;-8.40;4.90;67.72;54.66;13.06
102;Tulane;CUSA;;23;11;61.9;53.1;8.82;;-2.27;;-0.44;5.13;4.70;51.81;38.40;13.42
103;Providence;Big East;;13;17;54.8;59.4;-4.67;;9.30;;-1.64;6.27;4.63;55.46;43.93;11.53
104;Wisconsin;Big Ten;;9;20;59.3;66.5;-7.21;;11.49;;1.05;3.23;4.28;58.27;48.05;10.22
105;Cal Poly;Big West;;17;15;71.8;64.1;7.69;;-1.30;;8.63;-4.40;4.23;57.61;47.37;10.23
106;Mississippi State;SEC;;14;16;56.8;59.1;-2.23;;7.41;;-1.45;5.23;3.77;45.95;34.28;11.67
107;Pacific;Big West;;18;14;69.2;62.0;7.19;;1.39;;8.40;-4.82;3.57;53.69;44.35;9.34
108;Seton Hall;Big East;;8;23;54.5;61.2;-6.61;;10.18;;-2.14;5.70;3.56;57.69;47.47;10.22
109;Howard;MEAC;;24;9;58.7;51.5;7.21;;-2.68;;-4.41;7.40;2.99;49.66;37.68;11.99
110;Boston University;AEC;;23;9;59.6;54.0;5.59;;-2.88;;-2.03;4.74;2.71;55.43;45.60;9.83
111;Eastern Illinois;OVC;;22;9;71.7;60.4;11.39;;-6.16;;3.93;-1.41;2.51;54.90;45.43;9.47
112;Central Michigan;MAC;;20;16;71.1;66.0;5.14;;0.00;;8.59;-6.12;2.47;56.22;47.24;8.98
113;TCU;MWC;;16;14;60.1;56.5;3.63;;-1.21;;-1.52;3.95;2.43;46.22;38.29;7.93
114;Virginia Commonwealth;CAA;;19;15;65.8;65.2;0.59;;1.80;;2.85;-0.46;2.39;59.26;49.53;9.74
115;Oral Roberts;Summit;;20;11;72.6;65.0;7.65;;-2.90;;8.07;-5.74;2.33;52.32;44.36;7.97
116;Miami (OH);MAC;;21;10;68.1;63.8;4.29;;-1.97;;3.58;-1.26;2.32;58.45;49.12;9.33
117;UAB;CUSA;;19;11;55.0;47.1;7.93;;-3.59;;-8.42;10.74;2.32;45.12;34.41;10.71
118;Northern Iowa;MVC;;19;15;65.4;64.9;0.50;;1.36;;4.38;-2.07;2.30;53.21;44.89;8.32
119;Bradley;MVC;;18;16;68.3;66.3;1.97;;0.30;;5.49;-3.22;2.27;58.95;49.91;9.04
120;Illinois-Chicago;Horizon;;18;13;63.1;55.8;7.29;;-0.62;;0.28;1.89;2.18;54.89;46.09;8.80
121;Florida International;Sun Belt;;23;11;63.8;55.2;8.53;;-4.56;;-0.34;2.51;2.17;55.15;44.92;10.23
122;Liberty;Big South;;24;9;70.4;53.3;17.06;;-7.28;;0.61;1.55;2.16;52.03;41.21;10.81
123;South Dakota;Summit;;23;8;62.8;51.1;11.68;;-4.29;;-4.00;6.12;2.12;50.40;41.47;8.94
124;Drake;MVC;;18;16;59.2;59.9;-0.68;;2.44;;-2.39;4.16;1.77;53.51;45.61;7.90
125;Montana State;Big Sky;;19;11;68.7;60.0;8.70;;-1.28;;3.61;-2.07;1.54;47.80;41.66;6.14
126;Utah State;WAC;;21;10;72.4;64.6;7.71;;-3.66;;6.60;-5.06;1.54;58.08;50.98;7.10
127;Sacred Heart;NEC;;25;8;64.4;57.5;6.88;;-5.40;;-0.02;1.50;1.48;56.96;49.18;7.78
128;Alabama;SEC;;12;19;59.4;64.3;-4.90;;6.31;;1.25;0.16;1.41;48.30;39.68;8.62
129;Eastern Washington;Big Sky;;16;14;67.3;58.5;8.83;;-0.44;;1.89;-0.51;1.38;46.40;41.58;4.82
130;Appalachian State;Southern;;27;7;66.6;58.1;8.50;;-7.13;;2.67;-1.35;1.32;52.22;44.25;7.97
131;Albany (NY);AEC;;23;10;58.3;53.4;4.97;;-3.66;;-3.53;4.83;1.31;51.68;43.92;7.76
132;Kansas City;Summit;;22;12;72.0;64.3;7.74;;-4.03;;6.85;-5.78;1.07;55.75;48.21;7.54
133;UC Santa Barbara;Big West;;17;16;53.2;52.5;0.67;;0.39;;-10.13;11.19;1.06;49.19;43.10;6.09
134;Wright State;Horizon;;21;13;69.2;65.6;3.56;;-1.62;;5.34;-4.29;1.04;58.56;50.14;8.43
135;La Salle;A-10;;14;17;58.6;61.6;-3.00;;4.02;;0.15;0.88;1.02;57.02;50.55;6.47
136;Quinnipiac;NEC;;22;10;67.9;63.1;4.84;;-4.00;;4.45;-3.61;0.84;52.36;46.37;5.99
137;Idaho State;Big Sky;;24;8;61.9;54.1;7.84;;-1.77;;-4.10;4.93;0.83;45.47;39.02;6.45
138;Central Arkansas;Southland;;24;7;66.2;45.4;20.87;;-5.05;;-4.44;5.11;0.67;35.00;28.29;6.71
139;Pepperdine;WCC;;14;15;59.9;59.7;0.24;;4.75;;-0.98;1.63;0.65;47.16;42.22;4.94
140;Cal State Northridge;Big West;;17;14;64.3;61.3;3.00;;-0.44;;1.06;-0.43;0.63;46.43;42.16;4.27
141;Harvard;Ivy;;18;12;65.2;63.1;2.10;;-1.62;;2.93;-2.45;0.48;60.44;54.25;6.19
142;Little Rock;Sun Belt;;20;13;57.6;56.2;1.45;;-1.18;;-5.04;5.32;0.28;46.53;38.40;8.14
143;Xavier;A-10;;8;20;58.9;64.9;-6.00;;6.23;;-0.14;0.37;0.23;55.86;49.95;5.92
144;George Mason;CAA;;15;16;63.2;62.6;0.61;;0.28;;-0.10;0.27;0.18;57.71;50.40;7.31
145;Hartford;AEC;;19;13;55.9;54.7;1.19;;-1.17;;-5.10;5.12;0.02;52.85;47.41;5.44
146;Chattanooga;Southern;;22;10;62.1;57.2;4.97;;-4.98;;-0.97;0.96;-0.01;56.64;48.93;7.70
147;Denver;Sun Belt;;19;12;60.5;57.8;2.68;;-2.70;;-2.17;2.15;-0.03;50.58;43.86;6.72
148;UNC Wilmington;CAA;;20;13;63.4;65.8;-2.45;;2.41;;0.35;-0.39;-0.04;54.76;47.73;7.02
149;UC Davis;Big West;;17;13;61.1;61.5;-0.43;;0.31;;-2.13;2.00;-0.13;51.33;47.22;4.10
150;Colorado State;MWC;;13;17;60.4;58.9;1.47;;0.85;;-1.35;1.21;-0.15;45.96;42.08;3.88
151;Portland;WCC;;12;20;64.0;62.8;1.22;;4.52;;2.29;-2.59;-0.30;47.48;45.64;1.84
152;Montana;Big Sky;;16;14;62.2;55.4;6.80;;-2.42;;-4.46;4.11;-0.35;45.82;41.79;4.04
153;Mississippi;SEC;;12;18;57.7;62.2;-4.57;;4.19;;-2.24;1.87;-0.38;47.54;41.89;5.64
154;Marshall;CUSA;;16;14;59.5;56.1;3.40;;-3.56;;-3.42;2.89;-0.52;49.19;43.23;5.96
155;Long Island University;NEC;;21;10;62.7;57.9;4.81;;-5.34;;-1.94;1.40;-0.53;55.33;50.76;4.58
156;Indiana State;MVC;;15;16;60.5;63.4;-2.87;;2.28;;-0.76;0.17;-0.59;53.56;48.28;5.28
157;Virginia Tech;ACC;;7;23;51.7;62.3;-10.63;;10.04;;-6.88;6.29;-0.59;49.12;45.99;3.13
158;Boston College;ACC;;7;23;56.8;68.0;-11.23;;10.62;;0.07;-0.69;-0.62;57.76;53.86;3.90
159;Davidson;Southern;;22;10;62.8;56.2;6.69;;-7.34;;-1.94;1.29;-0.65;49.99;43.58;6.41
160;Akron;MAC;;14;18;73.8;73.8;0.03;;-0.71;;10.86;-11.54;-0.68;59.71;54.61;5.10
161;American;Patriot;;23;8;57.6;53.2;4.42;;-5.17;;-6.06;5.31;-0.75;51.04;46.47;4.56
162;South Alabama;Sun Belt;;17;13;59.1;49.5;9.53;;-5.48;;-5.78;5.02;-0.77;39.77;34.08;5.69
163;George Washington;A-10;;11;18;58.5;59.9;-1.45;;0.40;;-2.98;1.93;-1.05;53.81;49.71;4.09
164;Florida A&M;MEAC;;22;8;70.4;59.0;11.37;;-9.33;;3.86;-4.98;-1.13;44.33;39.72;4.61
165;Pittsburgh;Big East;;8;22;56.8;69.2;-12.40;;11.27;;1.11;-2.25;-1.13;52.55;48.74;3.81
166;North Texas;Sun Belt;;15;16;60.6;57.7;2.84;;-4.19;;-3.27;1.92;-1.35;43.69;38.55;5.14
167;Loyola (IL);Horizon;;13;17;65.7;66.5;-0.77;;-0.66;;2.54;-3.97;-1.43;56.71;53.20;3.51
168;Maryland-Baltimore County;AEC;;17;15;60.3;59.0;1.31;;-2.94;;-0.71;-0.92;-1.63;56.12;52.97;3.15
169;Tulsa;CUSA;;13;15;59.8;59.3;0.46;;-2.73;;-2.41;0.79;-1.63;41.89;38.73;3.16
170;Southern Methodist;CUSA;;14;17;59.3;59.5;-0.26;;-1.20;;-2.89;1.25;-1.64;43.00;38.49;4.51
171;Wyoming;MWC;;12;17;58.7;55.0;3.69;;-0.55;;-3.97;2.32;-1.66;43.77;41.35;2.42
172;Northern Colorado;Big Sky;;20;12;59.1;54.1;5.06;;-2.38;;-6.10;4.42;-1.68;44.54;42.06;2.48
173;Santa Clara;WCC;;12;18;66.2;67.0;-0.80;;2.88;;3.61;-5.33;-1.72;53.57;52.85;0.72
174;Robert Morris;NEC;;18;14;67.9;63.7;4.25;;-6.03;;2.21;-3.99;-1.78;54.32;51.49;2.83
175;North Dakota;GWC;;21;11;66.1;53.1;13.03;;-8.80;;0.07;-1.87;-1.80;44.46;41.56;2.90
176;Louisiana Tech;WAC;;17;15;66.6;66.3;0.34;;-2.17;;2.04;-3.87;-1.83;50.67;47.41;3.26
177;Coppin State;MEAC;;20;12;63.0;55.9;7.16;;-4.18;;-1.75;-0.16;-1.91;42.41;38.14;4.27
178;High Point;Big South;;20;13;69.5;64.1;5.39;;-6.97;;3.38;-5.47;-2.10;54.03;48.72;5.32
179;Yale;Ivy;;16;12;65.6;62.8;2.82;;-2.23;;2.96;-5.22;-2.27;51.57;49.25;2.32
180;Fordham;A-10;;12;18;52.0;53.0;-1.07;;0.18;;-8.76;6.48;-2.29;48.87;47.69;1.18
181;Fairfield;MAAC;;24;9;54.5;52.0;2.58;;-5.11;;-9.05;6.52;-2.53;52.76;50.22;2.55
182;Saint Louis;A-10;;11;20;59.1;60.6;-1.58;;1.47;;-3.86;1.26;-2.60;48.79;47.14;1.66
183;Navy;Patriot;;18;14;55.4;52.5;2.91;;-5.52;;-8.41;5.80;-2.61;52.42;50.80;1.62
184;Rice;CUSA;;16;16;59.6;57.4;2.22;;-4.76;;-3.38;0.65;-2.73;37.68;34.75;2.93
185;Northeastern;CAA;;8;22;62.6;68.9;-6.27;;3.49;;1.00;-3.78;-2.78;58.97;57.24;1.73
186;Cal State Fullerton;Big West;;11;19;61.0;61.3;-0.30;;-2.55;;-4.64;1.79;-2.85;44.86;43.99;0.87
187;Clemson;ACC;;6;22;54.3;65.1;-10.89;;7.98;;-4.23;1.32;-2.92;45.54;44.05;1.49
188;Indiana;Big Ten;;6;24;57.6;69.0;-11.43;;8.52;;-0.66;-2.26;-2.92;48.51;46.90;1.61
189;Sam Houston;Southland;;18;12;64.2;53.8;10.43;;-5.88;;-3.09;0.14;-2.95;31.84;28.95;2.89
190;Butler;Horizon;;13;17;58.6;59.0;-0.43;;-0.02;;-4.79;1.77;-3.02;46.86;45.82;1.04
191;William & Mary;CAA;;10;20;68.6;69.2;-0.63;;1.57;;6.35;-9.53;-3.18;57.92;54.84;3.09
192;Boise State;MWC;;15;16;67.6;62.7;4.90;;-1.89;;3.70;-6.89;-3.20;47.70;47.46;0.23
193;Samford;Southern;;20;13;59.9;57.5;2.45;;-5.71;;-3.87;0.61;-3.26;52.31;49.40;2.90
194;Ohio;MAC;;14;18;59.3;60.1;-0.84;;-2.46;;-5.93;2.62;-3.31;46.94;45.72;1.22
195;Manhattan;MAAC;;18;16;57.0;51.9;5.09;;-6.43;;-6.96;3.58;-3.38;48.57;47.84;0.73
196;Northern Illinois;MAC;;14;17;56.7;59.5;-2.77;;-0.76;;-8.27;4.73;-3.54;46.56;45.30;1.26
197;Towson;CAA;;16;14;57.6;63.2;-5.60;;1.97;;-4.44;0.80;-3.63;52.53;51.77;0.76
198;Lehigh;Patriot;;17;13;59.3;58.2;1.17;;-5.02;;-2.77;-1.08;-3.85;48.71;48.79;-0.08
199;Old Dominion;CAA;;11;21;62.6;70.5;-7.88;;3.88;;1.49;-5.49;-4.00;53.30;52.26;1.04
200;Portland State;Big Sky;;15;14;69.4;65.6;3.86;;-2.16;;3.67;-7.91;-4.23;49.52;50.49;-0.97
201;Holy Cross;Patriot;;19;15;63.1;63.8;-0.76;;-3.50;;0.95;-5.22;-4.26;56.82;57.54;-0.72
202;Youngstown State;Horizon;;10;20;64.6;67.5;-2.90;;-1.36;;2.08;-6.34;-4.26;54.18;54.73;-0.54
203;SIU Edwardsville;OVC;;18;12;63.9;62.8;1.10;;-5.50;;-3.12;-1.28;-4.40;51.40;50.43;0.97
204;Brown;Ivy;;16;12;61.1;57.1;4.07;;-6.30;;-3.14;-1.38;-4.52;50.75;51.45;-0.70
205;New Mexico;MWC;;11;20;54.3;55.5;-1.29;;-1.42;;-8.20;3.65;-4.56;40.92;41.06;-0.14
206;Pennsylvania;Ivy;;13;15;54.1;57.5;-3.39;;-2.00;;-7.81;2.41;-5.40;46.41;48.36;-1.95
207;Monmouth;NEC;;19;13;61.3;61.8;-0.53;;-4.95;;-2.93;-2.55;-5.48;50.75;52.34;-1.59
208;UC Irvine;Big West;;13;17;64.6;68.5;-3.90;;-1.73;;0.47;-6.09;-5.63;46.96;49.70;-2.75
209;UCF;CUSA;;12;17;54.6;57.9;-3.31;;-0.66;;-6.60;0.97;-5.63;36.47;37.47;-1.00
210;Mississippi Valley State;SWAC;;18;14;64.5;57.3;7.19;;-6.09;;0.30;-5.99;-5.68;41.51;41.28;0.23
211;IUPUI;Summit;;13;19;59.8;57.3;2.53;;-3.03;;-6.30;0.60;-5.70;39.99;41.33;-1.34
212;Milwaukee;Horizon;;9;21;57.9;65.5;-7.63;;1.89;;-4.09;-1.66;-5.75;49.32;52.05;-2.73
213;Stephen F. Austin;Southland;;24;10;62.6;52.3;10.29;;-8.92;;-2.26;-3.55;-5.82;-2.84;0.33;-3.16
214;Winthrop;Big South;;18;13;69.6;64.9;4.77;;-10.71;;1.82;-7.76;-5.94;57.04;57.57;-0.53
215;Central Connecticut State;NEC;;13;16;59.6;60.1;-0.52;;-5.56;;-5.67;-0.41;-6.08;46.54;49.95;-3.40
216;East Carolina;CUSA;;12;19;58.9;57.2;1.71;;-1.40;;-5.14;-1.02;-6.16;40.18;42.18;-2.01
217;Stetson;A-Sun;;23;11;66.8;61.7;5.09;;-9.51;;-0.85;-5.33;-6.18;48.38;49.42;-1.04
218;Loyola (MD);MAAC;;13;17;58.3;59.9;-1.60;;-4.66;;-4.35;-1.90;-6.26;48.70;51.36;-2.66
219;Army;Patriot;;14;16;56.4;53.7;2.73;;-6.67;;-7.45;1.15;-6.29;47.83;51.27;-3.44
220;Western Kentucky;Sun Belt;;9;21;56.3;61.8;-5.47;;-0.83;;-5.24;-1.05;-6.29;44.81;46.53;-1.71
221;Oakland;Summit;;11;17;57.0;58.7;-1.71;;-1.86;;-8.04;1.66;-6.38;42.60;45.60;-3.00
222;San Francisco;WCC;;5;25;61.7;66.8;-5.07;;3.34;;0.50;-6.96;-6.46;43.45;48.70;-5.25
223;Valparaiso;Horizon;;10;21;52.5;55.8;-3.39;;-0.33;;-12.09;5.59;-6.50;41.62;45.57;-3.95
224;Southern Illinois;MVC;;8;22;62.9;69.8;-6.97;;0.01;;-0.89;-6.06;-6.96;45.87;49.13;-3.27
225;New Hampshire;AEC;;16;14;58.4;60.0;-1.57;;-5.56;;-3.89;-3.24;-7.13;49.67;54.29;-4.61
226;Southern Mississippi;CUSA;;13;18;61.4;64.8;-3.42;;-1.69;;-0.37;-6.77;-7.14;41.60;44.10;-2.50
