;;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;AP Rank;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
82;Oregon;Pac-12;;;11;21;59.8;67.3;-7.50;;17.47;;2.29;7.69;9.97;96.79;83.81;12.98
83;Georgia;SEC;;;12;18;63.2;66.9;-3.70;;13.47;;2.97;6.80;9.77;95.05;82.79;12.26
84;Ball State;MAC;;;28;5;73.1;60.5;12.67;;-2.21;;4.69;5.00;9.70;99.68;85.91;13.77
85;Virginia Commonwealth;A-10;;;26;5;63.4;52.5;10.94;;-0.64;;-1.62;10.98;9.36;95.90;81.72;14.17
86;Georgetown;Big East;;;22;11;57.6;54.5;3.03;;6.27;;-3.41;12.71;9.30;92.90;79.79;13.11
87;Stony Brook;CAA;;;27;4;73.0;56.5;16.45;;-7.30;;6.70;2.46;9.15;95.34;83.51;11.83
88;Cleveland State;Horizon;;;29;5;74.5;61.0;13.56;;-4.49;;6.41;2.66;9.07;99.60;87.55;12.06
89;St. John's (NY);Big East;;;17;14;59.5;57.7;1.77;;7.29;;-0.55;9.62;9.07;97.91;85.00;12.90
90;Rhode Island;A-10;;;21;14;64.1;56.7;7.46;;1.55;;0.58;8.43;9.01;96.18;83.42;12.76
91;North Texas;AAC;;;23;8;74.9;64.1;10.77;;0.37;;8.83;0.17;9.00;99.71;87.68;12.03
92;Temple;AAC;;;20;12;69.9;62.9;7.03;;1.87;;5.81;3.09;8.90;96.21;84.30;11.90
93;Arizona State;Pac-12;;;11;20;61.5;70.1;-8.65;;17.40;;4.65;4.10;8.75;98.50;87.22;11.28
94;Davidson;A-10;;;18;8;65.0;55.4;9.58;;-1.01;;0.14;8.42;8.56;98.86;86.43;12.42
95;Eastern Washington;Big Sky;;;29;5;68.9;55.6;13.21;;-3.56;;2.07;6.09;8.16;94.97;83.07;11.90
96;DePaul;Big East;;;12;20;71.2;71.4;-0.16;;8.13;;11.79;-3.81;7.98;99.00;88.55;10.45
97;Rice;AAC;;;19;14;67.4;62.8;4.58;;3.11;;2.84;4.85;7.69;95.92;85.12;10.80
98;Northern Iowa;MVC;;;16;15;73.7;70.5;3.16;;4.34;;7.91;-0.41;7.50;101.95;91.48;10.46
99;Portland;WCC;;;21;12;68.0;61.9;6.06;;3.63;;2.64;4.86;7.50;91.62;81.57;10.05
100;Wisconsin;Big Ten;;;13;16;61.9;68.4;-6.55;;13.89;;0.22;7.13;7.34;92.24;83.40;8.84
101;Harvard;Ivy;;;16;12;68.9;63.4;5.46;;1.82;;4.77;2.51;7.28;99.10;89.22;9.88
102;South Florida;AAC;;;19;14;64.2;60.2;4.00;;3.08;;-0.41;7.49;7.08;96.24;87.05;9.19
103;Grand Canyon;WAC;;;24;8;69.5;56.2;13.28;;-4.47;;-0.87;7.73;6.86;94.14;83.47;10.67
104;Murray State;MVC;;;20;11;85.1;75.1;9.94;;-1.65;;16.99;-10.30;6.68;103.84;95.50;8.34
105;East Carolina;AAC;;;19;14;65.6;62.8;2.82;;3.79;;2.71;3.89;6.60;92.01;84.72;7.29
106;Wake Forest;ACC;;;7;25;59.5;67.6;-8.06;;14.51;;0.04;6.40;6.44;95.75;88.07;7.67
107;Tulsa;AAC;;;23;9;70.8;67.2;3.63;;2.69;;6.32;-0.01;6.32;95.95;87.98;7.96
108;Montana;Big Sky;;;22;9;72.2;63.5;8.65;;-1.11;;6.46;-0.34;6.13;102.80;93.84;8.96
109;Colorado State;MWC;;;20;11;68.6;61.2;7.39;;-0.54;;2.60;3.30;5.89;96.93;88.58;8.35
110;Missouri State;MVC;;;23;9;69.3;63.3;6.00;;-0.32;;1.70;3.98;5.68;96.79;88.59;8.20
111;Fairfield;MAAC;;25;31;1;73.0;54.1;18.88;;-11.10;;3.13;2.45;5.58;96.05;88.78;7.27
112;James Madison;Sun Belt;;;23;11;72.3;66.1;6.26;;1.28;;5.42;0.10;5.52;95.05;87.94;7.11
113;Providence;Big East;;;13;20;58.5;61.8;-3.27;;8.70;;-1.79;7.22;5.43;91.09;83.89;7.20
114;North Dakota State;Summit;;;21;11;75.9;68.6;7.25;;-0.13;;6.41;-1.35;5.07;99.69;93.06;6.63
115;Butler;Big East;;;14;16;62.5;62.0;0.50;;6.34;;-0.18;5.17;5.00;97.80;91.89;5.91
