;;;;;;;;;;;;SRS;;;Adjusted;;
28;Missouri State;MVC;;28;4;77.7;58.5;19.16;;0.72;;7.87;-11.15;-3.28;559.43;-232.82;792.25
29;Austin Peay;OVC;;23;8;67.6;59.5;8.06;;13.60;;19.52;-22.92;-3.40;440.92;-266.22;707.14
30;Louisiana Tech;WAC;;29;3;82.5;59.3;23.16;;-6.16;;-19.33;15.50;-3.83;550.63;-440.16;990.79
31;Old Dominion;CAA;;25;7;73.4;63.6;9.78;;-0.99;;-0.26;-3.74;-3.99;572.20;-350.67;922.87
32;Kansas State;Big 12;;25;6;75.5;59.0;16.52;;1.12;;-0.07;-4.31;-4.38;529.53;-357.22;886.74
33;DePaul;CUSA;;23;7;84.4;67.9;16.43;;-14.10;;1.55;-7.15;-5.60;470.30;-292.73;763.04
34;Chattanooga;Southern;;29;3;72.8;57.9;14.91;;-0.14;;-9.35;3.72;-5.64;446.93;-276.98;723.91
35;Virginia Tech;Big East;;23;8;63.5;56.0;7.48;;-6.91;;-8.33;1.42;-6.91;386.35;-383.22;769.57
36;North Carolina;ACC;;24;7;72.8;58.5;14.35;;-2.99;;-4.09;-3.90;-7.99;405.03;-373.37;778.39
37;Villanova;Big East;;23;7;60.7;52.9;7.77;;-0.55;;-11.99;3.94;-8.05;458.66;-235.49;694.15
38;Colgate;Patriot;;21;10;71.4;65.0;6.42;;14.42;;-3.52;-5.07;-8.58;447.64;-303.27;750.91
39;Saint Francis (PA);NEC;;25;6;74.1;61.7;12.39;;9.92;;5.14;-14.22;-9.09;465.35;-245.54;710.89
40;Montana;Big Sky;;27;5;68.6;53.0;15.59;;-5.86;;25.11;-34.97;-9.86;610.02;-375.82;985.84
41;Colorado;Big 12;;22;8;69.4;63.1;6.33;;17.09;;-4.72;-5.18;-9.91;464.50;-351.10;815.60
42;Rutgers;Big East;;21;12;62.5;58.5;4.00;;-5.21;;8.78;-18.99;-10.21;430.54;-286.32;716.86
43;Valparaiso;Mid-Cont;;20;12;60.6;54.5;6.06;;-2.80;;-6.14;-4.66;-10.80;508.40;-366.23;874.63
44;Missouri;Big 12;;17;13;70.9;66.3;4.60;;12.98;;-10.98;-0.05;-11.02;439.33;-286.37;725.69
45;Pennsylvania;Ivy;;17;11;69.1;67.4;1.75;;24.32;;4.37;-16.05;-11.68;525.93;-297.87;823.80
46;Ohio State;Big Ten;;21;10;68.3;56.7;11.58;;-7.25;;-16.66;4.92;-11.75;527.15;-352.47;879.62
47;Oklahoma;Big 12;;24;9;70.7;58.7;12.03;;-6.06;;-12.03;-0.02;-12.06;436.70;-288.14;724.83
48;Mississippi;SEC;;17;14;72.7;67.4;5.32;;-9.09;;0.91;-13.00;-12.09;381.29;-299.61;680.90
49;Liberty;Big South;;25;7;68.7;52.4;16.28;;10.85;;-13.71;-0.44;-14.15;396.31;-315.40;711.72
50;New Mexico;MWC;;23;8;61.7;50.0;11.77;;-2.72;;-23.19;8.48;-14.72;418.88;-307.79;726.67
51;Temple;A-10;;21;10;61.2;58.6;2.58;;-2.15;;-15.61;0.46;-15.15;452.87;-243.68;696.56
52;Iowa;Big Ten;;16;13;73.4;73.4;-0.03;;-6.16;;13.00;-32.16;-19.16;556.42;-200.95;757.37
53;West Virginia;Big East;;21;11;68.8;61.5;7.25;;-13.39;;5.22;-24.61;-19.39;524.67;-349.68;874.35
54;Lipscomb;A-Sun;;20;12;64.3;62.3;1.94;;10.37;;-8.46;-12.18;-20.63;433.25;-270.77;704.02
55;Michigan State;Big Ten;;22;9;64.8;56.1;8.71;;-18.57;;-15.01;-7.06;-22.07;436.16;-271.52;707.68
56;NC State;ACC;;17;15;64.6;63.8;0.84;;-2.76;;-10.68;-12.08;-22.76;472.03;-351.59;823.62
57;Texas Tech;Big 12;;25;8;72.3;57.3;15.03;;-19.29;;11.81;-34.61;-22.79;611.49;-375.91;987.40
58;Marist;MAAC;;20;11;61.3;59.2;2.06;;-12.64;;-19.67;-5.96;-25.64;443.01;-269.96;712.97
59;Maine;AEC;;25;7;64.7;55.8;8.94;;-20.61;;-49.69;19.09;-30.61;545.22;-443.17;988.40
60;Hampton;MEAC;;17;13;63.0;60.5;2.53;;6.11;;-14.36;-16.52;-30.89;396.97;-385.60;782.57
61;Arizona;Pac-10;;24;9;72.3;63.6;8.70;;-21.25;;-12.15;-21.09;-33.25;436.88;-267.48;704.36
62;Southern;SWAC;;17;12;64.3;66.2;-1.83;;-3.12;;-19.15;-18.97;-38.12;421.90;-268.26;690.16
63;George Washington;A-10;;22;8;68.4;61.0;7.37;;-4.81;;-25.68;-16.13;-41.81;456.44;-304.19;760.62
64;Northwestern State;Southland;;24;7;73.1;63.8;9.32;;9.84;;-18.27;-23.89;-42.16;530.14;-406.20;936.34
65;Air Force;MWC;;3;25;55.4;69.0;-13.64;;;;;;;75.54;102.19;-26.65
66;Akron;MAC;;7;21;56.1;68.9;-12.79;;;;;;;79.14;96.82;-17.69
67;Alabama;SEC;;12;16;66.4;67.5;-1.18;;;;;;;93.88;96.24;-2.37
68;Alabama A&M;SWAC;;11;16;60.9;60.2;0.74;;;;;;;76.51;81.22;-4.71
69;Alabama State;SWAC;;19;9;65.2;57.3;7.89;;;;;;;86.31;81.17;5.14
70;Albany (NY);AEC;;13;16;59.9;63.4;-3.52;;;;;;;86.16;91.20;-5.05
71;Alcorn State;SWAC;;13;15;61.0;65.5;-4.43;;;;;;;84.17;90.95;-6.79
72;American;Patriot;;16;14;61.4;60.0;1.37;;;;;;;83.85;81.83;2.02
73;Appalachian State;Southern;;7;21;66.1;71.6;-5.54;;;;;;;87.92;95.54;-7.62
74;Arizona State;Pac-10;;17;12;65.4;61.1;4.31;;;;;;;89.75;84.06;5.69
75;Arkansas;SEC;;16;12;67.7;66.4;1.36;;;;;;;90.88;89.16;1.72
76;Arkansas State;Sun Belt;;19;10;68.2;64.0;4.14;;;;;;;92.18;86.98;5.21
77;Arkansas-Pine Bluff;SWAC;;4;23;54.3;71.4;-17.07;;;;;;;71.65;93.82;-22.17
78;Army;Patriot;;14;14;62.4;61.5;0.89;;;;;;;85.63;88.58;-2.95
79;Ball State;MAC;;13;16;72.8;75.3;-2.48;;;;;;;95.26;98.17;-2.90
80;Belmont;A-Sun;;16;12;68.3;62.9;5.39;;;;;;;91.58;87.35;4.23
81;Bethune-Cookman;MEAC;;14;14;65.0;57.3;7.71;;;;;;;77.93;74.26;3.67
82;Binghamton;AEC;;17;10;59.2;59.3;-0.07;;;;;;;86.62;86.92;-0.30
83;Birmingham-Southern;Big South;;13;17;;;;;;;;;;;;
84;Boise State;WAC;;9;20;62.2;69.2;-7.03;;;;;;;83.93;95.17;-11.24
85;Boston University;AEC;;19;11;67.7;61.9;5.77;;;;;;;96.26;88.09;8.17
86;Bowling Green State;MAC;;21;10;72.0;66.3;5.71;;;;;;;99.44;91.22;8.22
87;Bradley;MVC;;9;19;63.6;68.6;-5.04;;;;;;;86.87;94.02;-7.15
88;Brigham Young;MWC;;15;14;64.8;60.1;4.62;;;;;;;93.43;86.95;6.47
89;Brown;Ivy;;16;11;66.3;62.9;3.44;;;;;;;90.99;86.53;4.46
90;Bucknell;Patriot;;15;14;64.9;64.5;0.38;;;;;;;87.27;86.82;0.45
91;Buffalo;MAC;;6;21;58.7;72.5;-13.81;;;;;;;84.37;103.37;-18.99
92;Butler;Horizon;;14;15;64.3;64.6;-0.31;;;;;;;91.93;92.55;-0.62
93;Cal Poly;Big West;;14;14;66.9;67.9;-0.96;;;;;;;88.44;90.86;-2.42
94;Cal State Fullerton;Big West;;9;20;60.1;70.7;-10.62;;;;;;;85.38;99.75;-14.37
95;Cal State Northridge;Big West;;6;20;61.6;65.6;-4.04;;;;;;;86.32;91.72;-5.40
96;California;Pac-10;;12;17;64.7;65.1;-0.45;;;;;;;89.10;90.27;-1.17
97;Campbell;A-Sun;;9;18;58.0;62.7;-4.67;;;;;;;82.71;89.63;-6.92
98;Canisius;MAAC;;19;11;71.8;68.9;2.83;;;;;;;95.38;91.62;3.76
99;Centenary (LA);Mid-Cont;;4;23;;;;;;;;;;;;
100;Central Connecticut State;NEC;;4;23;53.3;67.9;-14.52;;;;;;;75.17;95.52;-20.35
101;Central Michigan;MAC;;5;23;57.7;64.3;-6.61;;;;;;;83.27;99.43;-16.17
102;Charleston Southern;Big South;;11;17;61.9;61.9;-0.04;;;;;;;75.77;90.72;-14.95
103;Charlotte;CUSA;;17;14;71.5;71.2;0.32;;;;;;;93.89;93.54;0.36
104;Chicago State;Mid-Cont;;8;20;58.8;59.0;-0.21;;;;;;;79.14;92.09;-12.96
105;Cincinnati;CUSA;;15;16;65.5;61.4;4.16;;;;;;;96.94;90.93;6.01
106;Clemson;ACC;;17;12;65.8;64.6;1.24;;;;;;;91.88;93.44;-1.56
107;Cleveland State;Horizon;;12;16;63.9;64.8;-0.93;;;;;;;88.26;89.77;-1.51
108;Coastal Carolina;Big South;;13;15;61.5;53.0;8.50;;;;;;;74.67;78.67;-3.99
109;College of Charleston;Southern;;7;22;59.7;70.7;-10.93;;;;;;;79.53;94.23;-14.69
110;Colorado State;MWC;;17;12;66.4;60.5;5.97;;;;;;;98.03;89.79;8.25
111;Columbia;Ivy;;12;14;61.3;67.2;-5.81;;;;;;;85.52;93.99;-8.46
112;Coppin State;MEAC;;18;11;63.0;59.2;3.76;;;;;;;82.46;77.64;4.82
113;Cornell;Ivy;;9;18;62.0;68.7;-6.70;;;;;;;89.27;98.89;-9.62
114;Creighton;MVC;;24;9;70.6;65.5;5.09;;;;;;;98.82;91.78;7.04
115;Dartmouth;Ivy;;15;12;69.0;68.9;0.15;;;;;;;96.58;96.24;0.35
116;Davidson;Southern;;16;12;64.1;61.8;2.36;;;;;;;86.92;83.69;3.23
117;Dayton;A-10;;3;25;57.3;68.5;-11.21;;;;;;;81.56;97.52;-15.96
118;Delaware;CAA;;19;10;63.4;58.1;5.34;;;;;;;92.03;83.88;8.15
119;Delaware State;MEAC;;21;9;58.6;51.3;7.33;;;;;;;81.44;74.00;7.43
120;Denver;Sun Belt;;14;15;60.5;62.9;-2.38;;;;;;;85.51;88.67;-3.17
121;Detroit Mercy;Horizon;;15;14;57.2;55.9;1.34;;;;;;;84.62;83.00;1.62
122;Drake;MVC;;16;15;61.8;61.0;0.84;;;;;;;88.94;87.88;1.06
123;Drexel;CAA;;10;18;62.0;63.9;-1.93;;;;;;;93.79;96.83;-3.05
124;Duquesne;A-10;;16;13;67.8;68.7;-0.86;;;;;;;94.44;95.28;-0.84
125;East Carolina;CUSA;;14;14;69.0;67.6;1.43;;;;;;;86.43;87.97;-1.54
126;East Tennessee State;Southern;;13;14;65.3;68.1;-2.74;;;;;;;87.25;91.47;-4.22
127;Eastern Illinois;OVC;;8;19;67.0;62.9;4.11;;;;;;;86.38;95.81;-9.43
128;Eastern Kentucky;OVC;;15;15;68.9;71.2;-2.33;;;;;;;92.83;95.73;-2.90
129;Eastern Washington;Big Sky;;13;16;66.6;67.0;-0.45;;;;;;;88.61;90.02;-1.41
130;Elon;Southern;;17;12;62.4;65.2;-2.83;;;;;;;87.15;91.66;-4.51
131;Evansville;MVC;;11;16;65.9;71.5;-5.67;;;;;;;90.62;98.87;-8.26
132;Fairfield;MAAC;;10;19;65.5;69.5;-3.97;;;;;;;90.92;96.82;-5.90
133;FDU;NEC;;13;15;66.7;66.2;0.46;;;;;;;92.12;91.15;0.97
134;Florida A&M;MEAC;;17;12;64.9;60.0;4.93;;;;;;;77.97;78.17;-0.19
135;Florida Atlantic;A-Sun;;12;16;69.5;68.6;0.86;;;;;;;86.06;88.31;-2.26
136;Florida International;Sun Belt;;0;16;105.1;104.1;1.00;;;;;;;91.32;90.45;0.87
137;Florida State;ACC;;15;15;70.2;67.4;2.80;;;;;;;90.67;91.33;-0.66
138;Fordham;A-10;;11;17;58.7;62.1;-3.43;;;;;;;85.85;91.46;-5.62
139;Fresno State;WAC;;13;16;61.0;62.6;-1.66;;;;;;;83.25;85.70;-2.44
140;Furman;Southern;;18;11;68.3;57.3;11.03;;;;;;;91.73;80.14;11.59
141;Gardner-Webb;A-Sun;;5;22;59.2;67.6;-8.37;;;;;;;78.77;89.97;-11.20
142;George Mason;CAA;;18;11;68.5;63.2;5.28;;;;;;;96.22;89.02;7.21
143;Georgetown;Big East;;13;15;63.0;61.9;1.07;;;;;;;91.57;90.39;1.19
144;Georgia Southern;Southern;;15;14;58.3;55.1;3.28;;;;;;;73.46;78.71;-5.25
145;Georgia State;A-Sun;;18;11;65.0;61.2;3.72;;;;;;;95.01;90.02;4.99
146;Georgia Tech;ACC;;14;15;63.2;63.9;-0.72;;;;;;;92.36;93.95;-1.59
147;Gonzaga;WCC;;18;12;65.0;61.4;3.60;;;;;;;93.50;89.98;3.52
148;Grambling;SWAC;;13;15;63.7;56.7;7.04;;;;;;;81.63;84.31;-2.68
149;Hartford;AEC;;18;12;58.8;56.3;2.53;;;;;;;88.73;85.19;3.54
150;Harvard;Ivy;;16;11;74.6;67.1;7.48;;;;;;;102.65;92.32;10.33
151;Hawaii;WAC;;8;20;57.9;62.8;-4.89;;;;;;;85.78;92.56;-6.78
152;High Point;Big South;;14;14;61.9;55.9;5.93;;;;;;;79.64;80.64;-1.00
153;Hofstra;CAA;;14;14;63.0;67.7;-4.71;;;;;;;84.84;90.84;-6.00
154;Holy Cross;Patriot;;13;15;67.3;71.4;-4.11;;;;;;;87.64;92.73;-5.09
155;Howard;MEAC;;11;17;65.1;71.4;-6.25;;;;;;;77.21;85.11;-7.90
156;Idaho;Big West;;22;7;71.0;64.7;6.34;;;;;;;100.12;91.65;8.47
157;Idaho State;Big Sky;;20;9;74.4;62.6;11.76;;;;;;;102.14;91.15;10.99
158;Illinois;Big Ten;;10;18;65.8;63.7;2.04;;;;;;;91.55;93.06;-1.51
159;Illinois State;MVC;;16;13;72.6;71.1;1.48;;;;;;;97.29;95.15;2.14
160;Illinois-Chicago;Horizon;;12;16;65.0;68.6;-3.68;;;;;;;85.40;90.40;-5.00
161;Indiana;Big Ten;;12;17;62.4;63.6;-1.17;;;;;;;89.80;91.65;-1.85
162;Indiana State;MVC;;16;12;74.3;68.3;5.93;;;;;;;98.05;90.86;7.19
163;Iona;MAAC;;7;21;62.8;67.2;-4.39;;;;;;;89.58;95.59;-6.01
164;Iowa State;Big 12;;18;15;65.2;63.1;2.12;;;;;;;95.11;92.48;2.64
165;IUPUI;Mid-Cont;;7;21;59.9;63.9;-4.04;;;;;;;76.57;93.44;-16.87
166;Jackson State;SWAC;;23;7;58.9;50.8;8.13;;;;;;;81.47;74.46;7.01
167;Jacksonville;A-Sun;;3;24;53.8;65.4;-11.59;;;;;;;75.87;94.94;-19.07
168;Jacksonville State;OVC;;18;10;73.5;59.9;13.64;;;;;;;83.65;79.28;4.37
169;James Madison;CAA;;13;18;63.7;65.6;-1.87;;;;;;;90.77;93.70;-2.94
170;Kansas;Big 12;;9;19;61.7;67.0;-5.32;;;;;;;87.52;95.43;-7.91
171;Kansas City;Mid-Cont;;15;14;65.2;59.8;5.41;;;;;;;86.41;85.64;0.77
172;Kent State;MAC;;19;10;66.6;60.8;5.79;;;;;;;92.11;84.29;7.82
173;Kentucky;SEC;;11;17;66.5;68.0;-1.46;;;;;;;92.29;94.57;-2.29
174;La Salle;A-10;;15;13;64.3;66.1;-1.79;;;;;;;94.45;97.02;-2.58
175;Lafayette;Patriot;;1;27;57.1;73.3;-16.11;;;;;;;76.23;97.71;-21.48
176;Lamar;Southland;;4;22;54.3;65.3;-11.08;;;;;;;72.98;96.46;-23.48
177;Lehigh;Patriot;;13;16;63.2;65.4;-2.21;;;;;;;87.03;89.82;-2.79
178;Little Rock;Sun Belt;;10;17;60.0;60.7;-0.70;;;;;;;83.49;88.60;-5.12
179;Long Beach State;Big West;;14;16;61.1;62.9;-1.87;;;;;;;85.28;88.05;-2.77
180;Long Island University;NEC;;11;17;54.2;60.4;-6.14;;;;;;;83.24;94.09;-10.85
181;Louisiana;Sun Belt;;13;15;58.9;54.6;4.36;;;;;;;80.48;79.88;0.60
182;Louisiana-Monroe;Southland;;18;11;68.3;60.8;7.45;;;;;;;83.89;78.29;5.61
183;Louisville;CUSA;;20;10;70.4;66.4;4.00;;;;;;;99.98;94.02;5.96
184;Loyola (IL);Horizon;;11;17;65.2;68.4;-3.14;;;;;;;88.47;92.72;-4.25
185;Loyola (MD);MAAC;;14;15;60.9;61.4;-0.52;;;;;;;86.49;87.34;-0.84
186;Manhattan;MAAC;;11;18;57.0;61.7;-4.62;;;;;;;85.05;91.73;-6.69
187;Marshall;MAC;;18;12;65.9;61.4;4.53;;;;;;;93.05;87.11;5.93
188;Maryland-Baltimore County;AEC;;4;24;47.5;61.6;-14.14;;;;;;;78.95;101.92;-22.97
189;Maryland-Eastern Shore;MEAC;;12;17;69.1;64.4;4.66;;;;;;;79.71;80.28;-0.57
190;Massachusetts;A-10;;6;22;52.9;61.3;-8.46;;;;;;;78.70;91.42;-12.72
191;McNeese State;Southland;;11;17;58.1;61.3;-3.18;;;;;;;74.45;82.53;-8.08
192;Memphis;CUSA;;21;10;71.3;64.3;7.00;;;;;;;93.47;84.48;8.99
193;Mercer;A-Sun;;13;15;59.5;66.0;-6.50;;;;;;;79.81;88.72;-8.91
194;Miami (OH);MAC;;22;9;77.1;71.1;6.00;;;;;;;100.23;92.51;7.72
195;Michigan;Big Ten;;14;17;60.9;63.9;-2.97;;;;;;;89.35;94.02;-4.67
196;Milwaukee;Horizon;;17;12;62.9;62.3;0.59;;;;;;;88.66;87.64;1.02
197;Mississippi State;SEC;;14;15;65.9;67.9;-2.07;;;;;;;91.66;94.57;-2.91
198;Mississippi Valley State;SWAC;;8;21;57.0;54.8;2.17;;;;;;;79.65;90.82;-11.18
199;Monmouth;NEC;;17;13;62.7;63.3;-0.60;;;;;;;83.24;83.98;-0.74
200;Montana State;Big Sky;;15;14;67.0;65.8;1.28;;;;;;;87.97;91.44;-3.47
201;Morehead State;OVC;;10;18;64.4;73.6;-9.14;;;;;;;85.79;97.80;-12.01
202;Morgan State;MEAC;;3;25;50.1;66.6;-16.50;;;;;;;61.71;88.87;-27.17
203;Mount St. Mary's;NEC;;9;19;66.8;66.7;0.07;;;;;;;89.49;92.34;-2.85
204;Murray State;OVC;;13;15;68.3;65.6;2.71;;;;;;;94.25;90.48;3.77
205;Navy;Patriot;;13;17;63.1;64.3;-1.23;;;;;;;86.75;88.38;-1.62
206;Nebraska;Big 12;;18;12;66.8;63.9;2.93;;;;;;;93.96;90.28;3.69
207;Nevada;WAC;;3;26;59.1;72.0;-12.86;;;;;;;78.87;95.92;-17.05
208;Nevada-Las Vegas;MWC;;26;8;70.0;60.0;10.06;;;;;;;96.07;85.47;10.60
209;New Hampshire;AEC;;11;18;59.8;64.9;-5.14;;;;;;;85.78;93.67;-7.89
210;New Mexico State;Sun Belt;;13;16;57.2;62.4;-5.24;;;;;;;82.55;90.20;-7.66
211;New Orleans;Sun Belt;;10;17;62.6;65.6;-3.04;;;;;;;84.54;88.89;-4.35
212;Niagara;MAAC;;18;10;68.4;64.6;3.79;;;;;;;97.85;92.59;5.26
213;Nicholls State;Southland;;2;25;57.9;67.1;-9.19;;;;;;;75.57;100.28;-24.72
214;Norfolk State;MEAC;;8;21;58.1;65.0;-6.86;;;;;;;75.72;84.96;-9.23
215;North Carolina A&T;MEAC;;7;22;55.3;65.9;-10.66;;;;;;;74.53;89.01;-14.49
216;North Texas;Sun Belt;;11;17;62.0;66.5;-4.46;;;;;;;83.58;89.38;-5.81
217;Northeastern;AEC;;15;15;61.7;60.5;1.20;;;;;;;87.08;85.40;1.68
218;Northern Arizona;Big Sky;;12;16;61.5;63.3;-1.82;;;;;;;85.67;88.77;-3.10
219;Northern Illinois;MAC;;12;16;63.3;63.5;-0.29;;;;;;;91.15;91.65;-0.50
220;Northern Iowa;MVC;;12;17;64.1;66.7;-2.59;;;;;;;89.94;93.47;-3.54
221;Northwestern;Big Ten;;8;20;52.1;64.0;-11.82;;;;;;;83.36;102.16;-18.80
222;Oakland;Mid-Cont;;17;11;64.6;56.8;7.75;;;;;;;84.11;80.36;3.76
223;Ohio;MAC;;13;15;65.0;67.3;-2.29;;;;;;;91.35;94.89;-3.54
224;Oklahoma State;Big 12;;8;20;58.4;70.7;-12.32;;;;;;;81.06;98.59;-17.53
225;Oral Roberts;Mid-Cont;;17;13;65.8;56.6;9.13;;;;;;;82.24;87.54;-5.30
226;Oregon;Pac-10;;14;15;60.9;65.3;-4.41;;;;;;;88.53;94.37;-5.84
227;Oregon State;Pac-10;;17;15;64.7;64.6;0.03;;;;;;;94.71;95.89;-1.18
228;Pacific;Big West;;15;14;62.8;68.1;-5.38;;;;;;;88.61;96.40;-7.78
229;Pepperdine;WCC;;17;13;65.0;65.3;-0.27;;;;;;;90.18;90.43;-0.25
230;Pittsburgh;Big East;;6;20;57.1;68.9;-11.85;;;;;;;84.23;102.35;-18.12
231;Portland;WCC;;14;15;65.7;62.8;2.90;;;;;;;89.60;88.33;1.27
232;Portland State;Big Sky;;6;22;61.1;70.2;-9.07;;;;;;;82.63;95.28;-12.65
233;Prairie View;SWAC;;5;21;52.8;63.6;-10.85;;;;;;;71.93;91.83;-19.90
234;Princeton;Ivy;;7;20;58.3;64.0;-5.67;;;;;;;84.47;92.41;-7.94
235;Providence;Big East;;4;23;54.9;69.8;-14.85;;;;;;;79.74;102.00;-22.26
236;Purdue Fort Wayne;Ind;;8;20;69.8;78.8;-8.96;;;;;;;90.39;101.93;-11.55
237;Quinnipiac;NEC;;18;11;69.0;66.0;3.03;;;;;;;95.74;90.73;5.01
238;Radford;Big South;;15;14;61.0;54.3;6.66;;;;;;;78.83;81.91;-3.08
239;Rhode Island;A-10;;16;13;63.3;61.8;1.48;;;;;;;89.35;87.11;2.24
240;Rice;WAC;;22;10;66.1;60.6;5.56;;;;;;;88.86;81.37;7.49
241;Richmond;A-10;;23;10;70.5;62.6;7.91;;;;;;;99.52;88.42;11.10
242;Rider;MAAC;;5;23;62.5;73.1;-10.57;;;;;;;82.95;97.34;-14.40
243;Robert Morris;NEC;;3;24;55.3;63.2;-7.89;;;;;;;79.91;95.73;-15.83
244;Sacramento State;Big Sky;;1;26;50.0;68.0;-18.00;;;;;;;70.44;95.70;-25.26
245;Sacred Heart;NEC;;21;8;69.1;63.2;5.90;;;;;;;91.12;83.09;8.02
246;Saint Joseph's;A-10;;22;11;62.4;57.7;4.70;;;;;;;92.28;85.12;7.16
247;Saint Louis;CUSA;;8;19;63.3;70.3;-7.04;;;;;;;88.97;99.15;-10.18
248;Saint Mary's (CA);WCC;;15;14;58.2;60.4;-2.21;;;;;;;82.22;85.72;-3.50
249;Saint Peter's;MAAC;;15;15;60.3;59.3;1.00;;;;;;;88.14;87.23;0.91
250;Sam Houston;Southland;;7;21;57.5;66.4;-8.96;;;;;;;85.16;98.49;-13.33
251;Samford;OVC;;10;17;56.9;60.6;-3.78;;;;;;;84.00;89.48;-5.49
252;San Diego;WCC;;7;22;60.8;69.8;-8.93;;;;;;;81.61;93.54;-11.93
253;San Diego State;MWC;;8;20;53.6;60.1;-6.54;;;;;;;81.28;91.19;-9.91
254;San Francisco;WCC;;10;18;59.0;63.4;-4.36;;;;;;;84.41;90.97;-6.57
255;San Jose State;WAC;;16;13;63.4;63.7;-0.31;;;;;;;84.60;84.20;0.40
256;Santa Clara;WCC;;9;20;63.9;68.4;-4.55;;;;;;;88.82;95.09;-6.27
257;Savannah State;Ind;;6;20;;;;;;;;;;;;
258;Seton Hall;Big East;;15;15;58.0;57.9;0.07;;;;;;;86.20;86.37;-0.17
259;Siena;MAAC;;17;11;62.7;58.3;4.39;;;;;;;93.48;86.51;6.96
260;South Alabama;Sun Belt;;22;7;60.8;55.0;5.83;;;;;;;88.49;80.06;8.42
261;South Carolina;SEC;;10;18;67.1;69.7;-2.61;;;;;;;91.70;96.11;-4.41
262;South Carolina State;MEAC;;9;18;61.7;70.8;-9.07;;;;;;;75.18;86.30;-11.12
263;South Florida;CUSA;;14;15;67.3;63.5;3.83;;;;;;;89.85;84.99;4.86
264;Southeast Missouri State;OVC;;16;13;71.4;64.2;7.14;;;;;;;93.41;87.85;5.57
