;;;;;;;;;;;;SRS;;;Adjusted;;
76;Wake Forest;ACC;;15;17;66.5;65.9;0.59;;8.30;;6.25;2.64;8.89;62.99;47.46;15.53
77;Central Michigan;MAC;;20;11;80.5;73.8;6.65;;2.17;;18.36;-9.55;8.81;70.65;56.18;14.46
78;Illinois State;MVC;;24;11;67.9;62.8;5.09;;3.71;;6.12;2.68;8.80;64.84;48.97;15.88
79;Colorado;Big 12;;18;16;62.2;61.5;0.68;;10.23;;2.49;6.14;8.63;60.64;45.70;14.94
80;Missouri;Big 12;;13;18;59.4;64.7;-5.32;;13.79;;2.15;6.32;8.47;62.23;47.40;14.83
81;UNC Wilmington;CAA;;24;9;67.9;60.1;7.82;;0.60;;4.16;4.27;8.42;64.53;47.93;16.60
82;Washington;Pac-10;;11;17;56.2;58.3;-2.07;;10.42;;-2.12;10.47;8.35;57.04;43.08;13.96
83;Illinois;Big Ten;;9;23;62.9;67.1;-4.13;;12.25;;4.41;3.71;8.12;61.77;47.04;14.73
84;Auburn;SEC;;16;16;61.1;60.6;0.44;;7.62;;2.49;5.56;8.06;62.61;47.39;15.22
85;Creighton;MVC;;18;13;62.3;59.7;2.55;;5.50;;1.24;6.81;8.05;64.22;48.50;15.72
86;South Florida;Big East;;12;19;60.4;62.7;-2.35;;10.23;;2.85;5.03;7.88;63.01;48.53;14.48
87;Richmond;A-10;;18;12;66.5;63.9;2.67;;5.02;;5.62;2.07;7.69;63.56;48.79;14.77
88;St. Bonaventure;A-10;;21;12;60.1;55.2;4.91;;2.78;;-1.52;9.22;7.69;66.80;50.64;16.17
89;Providence;Big East;;13;16;56.6;58.9;-2.34;;9.93;;-0.74;8.33;7.58;58.68;44.77;13.91
90;Utah;MWC;;18;17;58.3;53.4;4.86;;7.55;;-2.74;10.33;7.58;51.72;40.48;11.24
91;Saint Joseph's;A-10;;20;12;61.3;58.6;2.72;;4.64;;0.77;6.58;7.36;62.50;47.93;14.58
92;Pepperdine;WCC;;18;12;69.5;57.5;11.97;;1.44;;5.63;1.64;7.27;53.00;40.60;12.40
93;Old Dominion;CAA;;20;11;64.3;61.4;2.94;;4.28;;2.35;4.87;7.21;61.94;48.01;13.93
94;Tulane;CUSA;;23;11;72.9;65.8;7.18;;-0.01;;8.40;-1.23;7.17;65.74;50.32;15.43
95;UC Davis;Big West;;24;9;68.5;60.2;8.27;;-1.15;;3.59;3.53;7.13;63.01;49.56;13.45
96;UCF;CUSA;;22;11;68.3;58.7;9.67;;1.13;;4.58;2.53;7.10;61.14;46.13;15.00
97;Appalachian State;Southern;;25;7;73.1;61.5;11.56;;-4.65;;7.75;-0.83;6.91;62.96;49.44;13.52
98;Drexel;CAA;;19;13;61.0;57.4;3.59;;3.15;;-1.00;7.75;6.75;66.88;52.60;14.28
99;Little Rock;Sun Belt;;23;8;58.4;52.5;5.97;;0.33;;-5.14;11.44;6.30;59.06;42.99;16.07
100;Villanova;Big East;;12;19;51.1;55.8;-4.71;;10.95;;-5.58;11.82;6.24;59.52;47.64;11.88
101;Oregon;Pac-10;;13;17;76.3;74.8;1.57;;8.40;;15.12;-8.89;6.23;60.42;49.22;11.20
102;Virginia Commonwealth;CAA;;19;12;67.7;63.1;4.68;;1.71;;4.53;1.67;6.21;67.18;54.10;13.08
103;San Diego State;MWC;;12;17;33.4;;;;7.51;;-0.77;6.76;6.00;;;
104;Kent State;MAC;;20;10;66.8;59.5;7.37;;0.03;;3.73;2.10;5.82;60.83;49.20;11.63
105;Delaware;CAA;;20;14;61.4;57.9;3.50;;2.21;;-1.13;6.84;5.71;61.95;49.80;12.15
106;Oregon State;Pac-10;;9;21;53.9;57.2;-3.30;;8.95;;-6.26;11.91;5.65;54.39;44.06;10.33
107;New Mexico;MWC;;13;18;60.7;62.3;-1.58;;6.99;;0.94;4.47;5.41;52.27;43.39;8.88
108;South Dakota State;Summit;;19;14;67.1;58.2;8.97;;-1.46;;1.50;3.37;4.88;57.10;46.85;10.25
109;Indiana;Big Ten;;9;20;63.4;69.1;-5.72;;10.55;;5.03;-0.19;4.83;63.52;52.89;10.63
110;Mississippi State;SEC;;13;17;58.2;59.3;-1.10;;5.93;;-3.57;8.39;4.83;57.08;45.89;11.18
111;UC Santa Barbara;Big West;;19;12;64.2;58.7;5.45;;-0.78;;-1.03;5.71;4.68;59.53;49.06;10.47
112;Denver;Sun Belt;;19;12;64.9;59.1;5.77;;-1.20;;0.98;3.60;4.57;62.72;50.12;12.59
113;Oral Roberts;Summit;;23;11;84.4;70.2;14.24;;-4.07;;18.61;-14.20;4.42;61.29;53.42;7.88
114;Hampton;MEAC;;26;7;63.5;51.8;11.67;;-7.19;;-1.71;6.07;4.36;55.58;44.11;11.48
115;Nevada;WAC;;22;11;67.5;61.7;5.82;;0.91;;2.00;2.34;4.34;55.95;47.84;8.12
116;Alabama;SEC;;18;15;66.0;65.2;0.82;;5.12;;5.84;-1.51;4.33;57.37;47.47;9.90
117;UC Riverside;Big West;;19;13;64.1;60.9;3.19;;1.07;;-0.20;4.45;4.26;58.06;48.25;9.81
118;Hofstra;CAA;;19;12;75.2;67.5;7.74;;-1.13;;12.93;-9.06;3.87;61.56;53.08;8.48
119;Wichita State;MVC;;17;15;63.3;60.3;3.06;;1.99;;0.52;3.25;3.77;56.16;47.32;8.84
120;Butler;Horizon;;20;14;67.0;63.2;3.76;;1.65;;4.41;-0.97;3.44;64.03;55.31;8.72
121;Nevada-Las Vegas;MWC;;11;20;61.2;60.7;0.45;;4.46;;0.40;2.97;3.36;51.68;45.30;6.38
122;Florida Gulf Coast;A-Sun;;28;4;71.3;57.3;14.03;;-9.76;;1.71;1.47;3.18;68.74;55.69;13.05
123;UTEP;CUSA;;16;14;69.6;63.6;5.97;;-0.57;;4.54;-1.65;2.88;60.43;52.29;8.14
124;Virginia Tech;ACC;;11;19;60.8;66.1;-5.30;;8.61;;0.31;2.55;2.86;58.11;50.35;7.76
125;Saint Mary's (CA);WCC;;19;13;67.5;62.4;5.06;;3.44;;4.60;-1.75;2.85;55.23;48.95;6.28
126;Washington State;Pac-10;;8;23;63.0;73.0;-10.06;;12.91;;4.86;-2.01;2.85;56.44;48.76;7.68
127;Montana State;Big Sky;;17;14;69.8;65.5;4.23;;-1.54;;4.61;-1.92;2.69;60.45;53.05;7.40
128;Indiana State;MVC;;16;16;65.8;64.5;1.25;;1.37;;2.52;0.10;2.62;61.46;53.63;7.83
129;Purdue Fort Wayne;Summit;;20;11;74.0;60.0;13.97;;-4.72;;6.26;-3.91;2.35;62.80;54.85;7.95
130;Memphis;CUSA;;21;13;65.6;61.6;4.06;;-1.01;;1.72;0.33;2.05;55.42;49.17;6.26
131;Chicago State;GWC;;24;10;72.9;58.9;14.03;;-7.72;;4.25;-2.26;2.00;59.55;52.22;7.34
132;Lehigh;Patriot;;21;11;64.6;58.5;6.06;;-4.12;;1.94;0.00;1.95;59.00;52.49;6.52
133;Cincinnati;Big East;;9;20;52.5;60.6;-8.14;;12.27;;-5.34;7.22;1.88;57.89;53.33;4.56
134;Drake;MVC;;15;15;65.0;65.9;-0.90;;2.76;;2.23;-0.37;1.86;60.61;54.35;6.26
135;Cal State Bakersfield;Ind;;22;12;76.5;68.3;8.18;;-1.40;;11.04;-9.27;1.76;58.65;53.68;4.97
136;UAB;CUSA;;20;15;59.1;55.3;3.86;;-2.15;;-6.09;7.80;1.71;59.07;50.50;8.57
137;Samford;Southern;;25;8;63.6;54.7;8.88;;-4.65;;-2.87;4.41;1.54;61.43;53.45;7.98
138;Liberty;Big South;;22;11;60.6;51.0;9.61;;-3.46;;-5.57;7.08;1.51;55.35;47.42;7.93
139;Rice;CUSA;;18;14;64.8;63.0;1.78;;-0.27;;-0.41;1.92;1.51;56.77;49.83;6.94
140;Akron;MAC;;14;16;66.3;62.4;3.83;;1.03;;1.30;0.18;1.47;57.61;52.29;5.31
141;Southern Methodist;CUSA;;14;16;66.7;66.5;0.23;;1.11;;2.56;-1.22;1.34;60.39;53.49;6.90
142;Cleveland State;Horizon;;21;12;65.7;60.8;4.88;;-1.40;;0.38;0.72;1.10;56.15;50.88;5.27
143;American;Patriot;;22;9;61.2;53.7;7.48;;-6.52;;-4.21;5.18;0.97;60.69;53.71;6.98
144;Oakland;Summit;;20;12;65.2;54.9;10.34;;-4.11;;-3.04;3.80;0.76;49.62;45.25;4.37
145;Buffalo;MAC;;16;16;66.5;66.3;0.16;;0.60;;3.08;-2.32;0.75;60.99;55.98;5.01
146;Western Kentucky;Sun Belt;;15;17;63.9;64.4;-0.47;;0.95;;1.24;-0.76;0.48;61.76;54.88;6.88
147;Wright State;Horizon;;20;13;68.0;67.2;0.82;;-0.49;;4.02;-3.54;0.48;62.11;57.49;4.62
148;Colorado State;MWC;;14;16;60.4;63.3;-2.87;;3.33;;-0.07;0.53;0.47;55.72;54.39;1.33
149;Clemson;ACC;;10;20;59.9;69.2;-9.37;;9.78;;0.52;-0.11;0.42;57.60;53.04;4.56
150;East Carolina;CUSA;;16;15;70.3;67.8;2.55;;1.10;;6.82;-6.49;0.33;57.71;52.35;5.36
151;Mississippi;SEC;;10;19;58.4;66.4;-7.97;;8.25;;-1.54;1.82;0.28;60.94;57.67;3.28
152;Illinois-Chicago;Horizon;;14;16;63.9;65.7;-1.77;;1.95;;0.60;-0.41;0.19;58.18;54.11;4.07
153;Northern Colorado;Big Sky;;17;14;65.4;59.0;6.42;;-3.97;;-2.06;2.20;0.14;51.76;47.33;4.43
154;Florida International;Sun Belt;;16;16;61.3;61.2;0.16;;-0.32;;-2.62;2.46;-0.16;59.11;53.58;5.53
155;Bradley;MVC;;15;16;64.8;67.6;-2.81;;2.62;;2.65;-2.83;-0.19;57.97;53.98;3.99
156;Seton Hall;Big East;;8;22;54.5;66.3;-11.80;;11.53;;-2.69;2.42;-0.27;55.32;52.17;3.15
157;High Point;Big South;;16;15;68.9;58.8;10.06;;-4.91;;3.50;-3.81;-0.31;60.01;55.08;4.93
158;Portland State;Big Sky;;20;12;67.9;62.4;5.50;;-0.69;;2.53;-3.02;-0.49;54.64;51.53;3.10
159;Portland;WCC;;16;15;69.9;64.8;5.06;;-1.20;;3.61;-4.20;-0.59;53.91;51.70;2.21
160;UC Irvine;Big West;;15;15;67.0;67.2;-0.17;;-0.48;;2.25;-2.89;-0.64;59.25;56.27;2.98
161;Harvard;Ivy;;18;10;71.4;65.7;5.75;;-6.41;;5.38;-6.04;-0.66;66.70;63.35;3.35
162;Northern Illinois;MAC;;13;17;57.8;62.2;-4.43;;3.74;;-4.96;4.27;-0.69;55.45;53.03;2.43
163;Lamar;Southland;;25;8;73.8;58.6;15.24;;-7.25;;4.59;-5.39;-0.80;52.02;46.84;5.18
164;San Diego;WCC;;17;14;55.5;54.9;0.61;;-0.16;;0.25;-1.11;-0.86;;;
165;Montana;Big Sky;;18;15;61.5;58.5;3.03;;-1.17;;-5.46;4.57;-0.89;52.89;50.23;2.66
166;Utah State;WAC;;18;15;69.3;70.0;-0.67;;-0.45;;5.16;-6.19;-1.04;59.47;57.72;1.75
167;Milwaukee;Horizon;;12;18;65.8;70.1;-4.37;;3.23;;3.61;-4.74;-1.14;61.80;59.67;2.13
168;George Mason;CAA;;13;17;59.7;59.3;0.37;;-0.59;;-4.06;2.89;-1.18;58.97;55.53;3.45
169;Detroit Mercy;Horizon;;13;18;60.7;62.2;-1.45;;2.49;;-2.56;1.28;-1.28;54.25;52.40;1.85
170;Tennessee-Martin;OVC;;21;11;72.4;68.6;3.81;;-5.46;;5.92;-7.57;-1.65;63.71;60.56;3.15
171;Cal Poly;Big West;;18;13;68.3;68.4;-0.10;;-1.61;;3.67;-5.38;-1.71;60.25;58.58;1.67
172;Idaho;WAC;;15;16;63.0;62.0;0.94;;-0.33;;-3.27;1.50;-1.77;50.65;49.48;1.17
173;Saint Francis (PA);NEC;;22;12;68.2;66.5;1.71;;-3.72;;4.55;-6.56;-2.02;59.18;58.53;0.65
174;Navy;Patriot;;20;12;57.6;53.7;3.97;;-6.04;;-6.93;4.86;-2.07;59.93;58.03;1.90
175;Arkansas State;Sun Belt;;18;14;59.2;56.0;3.19;;-3.24;;-6.72;4.64;-2.08;47.46;44.03;3.43
176;New Mexico State;WAC;;14;18;65.5;64.9;0.53;;0.26;;0.22;-2.32;-2.10;54.18;53.59;0.59
177;Monmouth;NEC;;23;10;60.4;55.7;4.73;;-6.52;;-6.44;4.29;-2.15;58.01;56.28;1.73
178;George Washington;A-10;;8;21;55.5;61.8;-6.28;;3.94;;-5.62;3.29;-2.33;55.67;55.47;0.20
179;South Alabama;Sun Belt;;17;13;62.8;55.3;7.50;;-4.47;;-4.07;1.74;-2.33;50.82;48.37;2.45
180;Miami (OH);MAC;;11;19;69.6;75.0;-5.47;;2.95;;6.61;-9.13;-2.52;62.97;62.08;0.89
181;Gardner-Webb;Big South;;23;11;63.9;53.4;10.53;;-5.90;;-3.80;1.17;-2.63;52.31;48.86;3.45
182;South Dakota;GWC;;20;12;63.1;52.0;11.06;;-6.88;;-6.76;4.02;-2.74;49.85;47.62;2.23
183;East Tennessee State;A-Sun;;19;12;72.1;69.2;2.94;;-5.82;;4.11;-6.99;-2.88;56.79;55.18;1.61
184;Chattanooga;Southern;;17;14;66.8;65.7;1.10;;-3.99;;1.93;-4.82;-2.90;64.57;63.17;1.40
185;Sacred Heart;NEC;;18;13;60.2;57.7;2.48;;-5.48;;-4.55;1.55;-3.00;55.08;55.78;-0.70
186;McNeese State;Southland;;26;7;28.5;;;;-11.45;;-3.34;0.24;-3.09;;;
187;Idaho State;Big Sky;;18;12;66.3;59.9;6.37;;-3.49;;-2.34;-0.83;-3.17;50.45;50.27;0.18
188;Loyola Marymount;WCC;;11;18;60.8;57.9;2.90;;0.78;;-4.54;1.22;-3.32;49.14;50.40;-1.26
189;Ohio;MAC;;9;22;56.4;63.4;-6.97;;3.49;;-5.86;2.38;-3.48;52.81;53.78;-0.96
190;Elon;Southern;;20;13;68.0;61.2;6.79;;-5.75;;2.44;-5.97;-3.53;51.80;51.73;0.07
191;Manhattan;MAAC;;24;10;56.9;50.9;6.03;;-9.86;;-8.50;4.67;-3.83;56.27;56.85;-0.58
192;Robert Morris;NEC;;16;14;63.8;62.0;1.80;;-5.66;;-1.79;-2.07;-3.86;56.40;58.00;-1.60
193;Louisiana-Monroe;Sun Belt;;16;15;63.1;54.9;8.19;;-5.92;;-3.38;-0.60;-3.98;45.70;43.31;2.40
194;Ball State;MAC;;9;21;62.6;69.3;-6.67;;2.64;;-0.12;-3.91;-4.03;54.17;55.49;-1.33
195;Hartford;AEC;;17;16;56.7;57.5;-0.79;;-3.27;;-7.27;3.21;-4.06;54.73;56.24;-1.51
196;Boston University;AEC;;17;14;62.8;60.1;2.71;;-6.88;;-2.58;-1.60;-4.17;56.63;58.03;-1.41
197;Davidson;Southern;;14;17;61.7;60.6;1.13;;-5.05;;-3.44;-0.78;-4.22;57.95;58.11;-0.16
198;North Dakota State;Summit;;13;16;65.9;59.3;6.66;;-3.43;;-2.06;-2.29;-4.36;52.50;53.94;-1.44
199;Evansville;MVC;;8;22;57.1;64.4;-7.27;;2.81;;-5.98;1.53;-4.46;50.45;52.73;-2.28
200;Eastern Illinois;OVC;;18;13;69.6;65.4;4.23;;-8.76;;1.18;-5.71;-4.54;59.30;59.80;-0.51
201;Towson;CAA;;9;21;56.1;61.3;-5.13;;0.59;;-6.65;2.11;-4.54;52.82;55.25;-2.43
202;Fordham;A-10;;12;19;56.6;59.5;-2.87;;-1.74;;-7.20;2.59;-4.62;54.59;57.32;-2.73
203;Loyola (MD);MAAC;;21;13;58.8;58.4;0.47;;-5.31;;-4.00;-0.84;-4.84;53.28;55.46;-2.18
204;Tennessee Tech;OVC;;23;8;67.2;61.2;6.03;;-8.62;;-1.59;-3.30;-4.89;54.20;55.00;-0.80
205;Western Michigan;MAC;;9;21;60.2;65.9;-5.70;;0.75;;-3.52;-1.43;-4.95;53.09;55.76;-2.67
206;Fairfield;MAAC;;17;13;55.3;51.2;4.13;;-9.33;;-10.53;5.34;-5.20;52.99;55.63;-2.64
207;Georgia State;CAA;;12;19;57.6;62.7;-5.13;;-0.97;;-5.05;-0.23;-5.28;46.86;50.64;-3.78
208;Massachusetts;A-10;;7;23;63.0;70.4;-7.37;;2.06;;0.42;-5.73;-5.31;60.20;63.84;-3.64
209;Yale;Ivy;;14;15;61.7;63.2;-1.55;;-3.95;;-1.87;-3.64;-5.51;53.18;56.82;-3.64
210;Hawaii;WAC;;11;19;60.5;66.3;-5.87;;0.05;;-4.07;-1.74;-5.81;51.01;56.06;-5.05
211;Maryland-Baltimore County;AEC;;20;12;56.8;56.0;0.78;;-6.65;;-7.73;1.86;-5.87;53.03;57.27;-4.25
212;Prairie View;SWAC;;21;12;55.5;53.1;2.42;;-8.34;;-11.22;5.30;-5.91;45.94;47.15;-1.21
213;La Salle;A-10;;10;20;61.0;70.4;-9.37;;3.42;;0.44;-6.38;-5.94;56.98;61.10;-4.12
214;Eastern Washington;Big Sky;;13;18;67.3;62.8;4.45;;-2.94;;0.32;-6.36;-6.04;52.22;55.89;-3.67
215;Central Arkansas;Southland;;21;12;70.8;49.2;21.61;;-11.45;;-2.32;-3.79;-6.10;47.20;47.09;0.11
216;Loyola (IL);Horizon;;12;19;62.9;66.4;-3.55;;0.30;;-1.64;-4.53;-6.17;54.32;59.03;-4.71
217;Northeastern;CAA;;8;22;58.4;66.6;-8.20;;1.92;;-4.05;-2.23;-6.28;55.03;59.71;-4.69
218;Morehead State;OVC;;21;10;70.7;67.7;3.00;;-9.30;;1.62;-7.93;-6.30;57.76;59.69;-1.93
219;William & Mary;CAA;;3;26;62.8;72.3;-9.55;;3.40;;0.05;-6.36;-6.32;58.43;62.74;-4.31
220;Long Island University;NEC;;19;11;62.0;57.1;4.90;;-9.80;;-5.13;-1.64;-6.77;51.53;57.36;-5.83
221;Seattle;Ind;;8;22;62.4;65.2;-2.80;;-0.55;;-4.63;-2.23;-6.86;48.57;51.77;-3.20
222;Binghamton;AEC;;19;12;56.8;54.5;2.26;;-9.57;;-9.62;2.31;-7.31;48.09;54.83;-6.74
223;North Dakota;GWC;;15;16;65.8;62.5;3.35;;-5.93;;-1.36;-5.99;-7.35;49.92;54.26;-4.35
224;UNC Greensboro;Southern;;13;16;61.0;63.5;-2.48;;-4.96;;-5.16;-2.28;-7.44;52.37;57.61;-5.24
225;North Carolina A&T;MEAC;;15;14;69.0;69.5;-0.55;;-7.59;;4.04;-11.53;-7.49;48.10;55.19;-7.09
226;Santa Clara;WCC;;11;19;61.6;64.4;-2.77;;-0.64;;-4.71;-2.80;-7.51;50.24;56.73;-6.50
